,ndosi,second_doses,stock_values
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,10000107,0.0,10000107.0
11,0,0.0,10000107.0
12,0,0.0,10000107.0
13,0,0.0,10000107.0
14,0,0.0,10000107.0
15,10002511,0.0,20002618.0
16,0,0.0,20002618.0
17,0,0.0,9999843.0
18,0,0.0,9999843.0
19,0,0.0,9999843.0
20,0,0.0,0.0
21,0,0.0,0.0
22,0,0.0,0.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,0,0.0,0.0
28,0,0.0,0.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
37,0,0.0,0.0
38,10002775,10002775.0,0.0
39,0,0.0,0.0
40,0,0.0,0.0
41,10001450,9999843.0,0.0
42,0,0.0,0.0
43,0,0.0,0.0
44,0,0.0,0.0
45,0,0.0,0.0
46,9999633,0.0,0.0
47,10000360,0.0,0.0
48,0,0.0,0.0
49,0,0.0,0.0
50,0,0.0,0.0
51,0,0.0,0.0
52,0,0.0,0.0
53,0,0.0,0.0
54,10004719,0.0,4688.0
55,0,0.0,4688.0
56,0,0.0,4688.0
57,9997587,0.0,10002275.0
58,0,0.0,10002275.0
59,0,0.0,10002275.0
60,0,0.0,10002275.0
61,0,0.0,10002275.0
62,0,1607.0,10000668.0
63,10000752,0.0,10000626.0
64,0,0.0,10000626.0
65,9999367,0.0,19999993.0
66,0,0.0,19999993.0
67,0,9999633.0,10000360.0
68,0,10000360.0,0.0
69,0,0.0,0.0
70,0,0.0,0.0
71,0,0.0,0.0
72,10000031,0.0,10000031.0
73,0,0.0,10000031.0
74,0,0.0,10000031.0
75,0,10000031.0,0.0
76,0,0.0,0.0
77,0,0.0,0.0
78,0,0.0,0.0
79,0,0.0,0.0
80,0,0.0,0.0
81,0,0.0,0.0
82,0,0.0,0.0
83,0,0.0,0.0
84,10002466,10000794.0,1672.0
85,0,0.0,0.0
86,0,0.0,0.0
87,0,0.0,0.0
88,0,0.0,0.0
89,0,0.0,0.0
90,0,0.0,0.0
91,0,0.0,0.0
92,0,0.0,0.0
93,0,0.0,0.0
94,0,0.0,0.0
95,0,0.0,0.0
96,0,0.0,0.0
97,0,0.0,0.0
98,0,0.0,0.0
99,0,0.0,0.0
100,0,0.0,0.0
101,0,0.0,0.0
102,0,0.0,0.0
103,0,0.0,0.0
104,0,0.0,0.0
105,0,0.0,0.0
106,9999767,1672.0,0.0
107,0,0.0,0.0
108,0,0.0,0.0
109,0,0.0,0.0
110,0,0.0,0.0
111,0,0.0,0.0
112,0,0.0,0.0
113,0,0.0,0.0
114,10000007,0.0,0.0
115,0,0.0,0.0
116,9999089,0.0,5000822.0
117,9999017,0.0,14999839.0
118,0,0.0,14999839.0
119,0,0.0,4998415.0
120,0,0.0,4998415.0
121,0,0.0,4998415.0
122,9999611,0.0,14998026.0
123,0,0.0,4994417.0
124,0,0.0,4994417.0
125,0,0.0,4993962.0
126,10000765,0.0,14994727.0
127,0,9998095.0,4996632.0
128,0,0.0,4996632.0
129,0,0.0,4996632.0
130,0,0.0,4996632.0
131,0,0.0,4996632.0
132,0,0.0,4996632.0
133,10001642,0.0,14998274.0
134,0,0.0,14998274.0
135,0,10000007.0,4998267.0
136,0,0.0,4998267.0
137,0,4998267.0,0.0
138,0,0.0,0.0
139,0,0.0,0.0
140,10001424,10001424.0,0.0
141,0,0.0,0.0
142,0,0.0,0.0
143,0,0.0,0.0
144,10003609,10003609.0,0.0
145,0,0.0,0.0
146,9998000,455.0,9997545.0
147,0,0.0,1796.0
148,0,0.0,0.0
149,0,0.0,0.0
150,0,0.0,0.0
151,0,0.0,0.0
152,9997962,0.0,2929.0
153,0,0.0,2929.0
154,0,0.0,0.0
155,0,0.0,0.0
156,0,0.0,0.0
157,0,0.0,0.0
158,0,0.0,0.0
159,9998803,0.0,0.0
160,0,0.0,0.0
161,0,0.0,0.0
162,0,0.0,0.0
163,0,0.0,0.0
164,0,0.0,0.0
165,0,0.0,0.0
166,0,0.0,0.0
167,0,0.0,0.0
168,9995749,9995749.0,0.0
169,9996829,1796.0,9995033.0
170,0,0.0,9995033.0
171,0,0.0,9995033.0
172,0,0.0,9995033.0
173,0,9995033.0,0.0
174,0,0.0,0.0
175,10001732,2929.0,9998803.0
176,0,0.0,9998803.0
177,0,0.0,9998803.0
178,0,0.0,9998803.0
179,0,0.0,9998803.0
180,0,9998803.0,0.0
