,ndosi,second_doses,stock_values
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,9996677,0.0,0.0
8,0,0.0,0.0
9,10000502,0.0,5000113.5
10,0,0.0,5000113.5
11,0,0.0,5000113.5
12,0,0.0,0.0
13,0,0.0,0.0
14,0,0.0,0.0
15,0,0.0,0.0
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,10003938,0.0,5003065.5
21,0,0.0,5003065.5
22,0,0.0,5003065.5
23,0,0.0,5003065.5
24,0,0.0,5003065.5
25,0,0.0,5003065.5
26,0,0.0,5003065.5
27,0,0.0,5003065.5
28,9994000,9996677.0,5000388.5
29,0,0.0,5000388.5
30,0,5000388.5,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,10000986,5000113.5,5000872.5
34,0,0.0,5000872.5
35,0,0.0,5000872.5
36,0,0.0,5000872.5
37,0,0.0,5000872.5
38,0,0.0,5000872.5
39,0,0.0,5000872.5
40,0,0.0,5000872.5
41,0,5000872.5,0.0
42,0,0.0,0.0
43,0,0.0,0.0
44,0,0.0,0.0
45,10001682,0.0,7623.5
46,0,0.0,7623.5
47,0,0.0,7623.5
48,0,0.0,0.0
49,0,0.0,0.0
50,0,0.0,0.0
51,0,0.0,0.0
52,0,0.0,0.0
53,0,0.0,0.0
54,0,0.0,0.0
55,0,0.0,0.0
56,0,0.0,0.0
57,0,0.0,0.0
58,10001667,0.0,7069.5
59,0,0.0,0.0
60,0,0.0,0.0
61,0,0.0,0.0
62,0,0.0,0.0
63,0,0.0,0.0
64,9993060,0.0,0.0
65,10000582,0.0,9994058.5
66,0,9994058.5,0.0
67,0,0.0,0.0
68,0,0.0,0.0
69,10002221,7623.5,9994597.5
70,0,0.0,9994597.5
71,0,0.0,9994597.5
72,0,0.0,9994597.5
73,0,0.0,9994597.5
74,0,0.0,9994597.5
75,0,0.0,9994597.5
76,0,0.0,9994597.5
77,0,0.0,9994597.5
78,0,0.0,9994597.5
79,0,9994597.5,0.0
80,10006653,7069.5,9999583.5
81,0,0.0,9999583.5
82,0,0.0,9999583.5
83,0,0.0,9999583.5
84,0,0.0,9999583.5
85,0,9993060.0,6523.5
86,0,6523.5,0.0
87,0,0.0,0.0
88,0,0.0,0.0
89,0,0.0,0.0
90,0,0.0,0.0
91,0,0.0,0.0
92,0,0.0,0.0
93,9998676,0.0,725.0
94,0,0.0,0.0
95,0,0.0,0.0
96,0,0.0,0.0
97,0,0.0,0.0
98,0,0.0,0.0
99,0,0.0,0.0
100,10001887,0.0,0.0
101,0,0.0,0.0
102,0,0.0,0.0
103,0,0.0,0.0
104,10000648,0.0,0.0
105,0,0.0,0.0
106,0,0.0,0.0
107,0,0.0,0.0
108,0,0.0,0.0
109,0,0.0,0.0
110,0,0.0,0.0
111,0,0.0,0.0
112,0,0.0,0.0
113,0,0.0,0.0
114,9997951,9997951.0,0.0
115,10004930,725.0,10000858.0
116,9999829,0.0,20000687.0
117,0,0.0,20000687.0
118,0,0.0,20000687.0
119,10002231,0.0,30002918.0
120,0,0.0,30002918.0
121,0,10001887.0,20001031.0
122,0,0.0,20001031.0
123,0,0.0,20001031.0
124,0,0.0,10000648.0
125,0,10000648.0,0.0
126,0,0.0,0.0
127,0,0.0,0.0
128,0,0.0,0.0
129,0,0.0,0.0
130,10001486,0.0,3347.0
131,0,0.0,3347.0
132,0,0.0,3347.0
133,0,0.0,3347.0
134,0,0.0,3347.0
135,0,0.0,3347.0
136,0,3347.0,0.0
137,0,0.0,0.0
138,0,0.0,0.0
139,0,0.0,0.0
140,0,0.0,0.0
141,0,0.0,0.0
142,0,0.0,0.0
143,0,0.0,0.0
144,0,0.0,0.0
145,10004171,10000383.0,3788.0
146,9999731,0.0,10003519.0
147,0,0.0,0.0
148,0,0.0,0.0
149,0,0.0,0.0
150,9998645,0.0,9998139.0
151,0,9998139.0,0.0
152,0,0.0,0.0
153,0,0.0,0.0
154,0,0.0,0.0
155,0,0.0,0.0
156,0,0.0,0.0
157,0,0.0,0.0
158,0,0.0,0.0
159,0,0.0,0.0
160,0,0.0,0.0
161,0,0.0,0.0
162,0,0.0,0.0
163,0,0.0,0.0
164,0,0.0,0.0
165,0,0.0,0.0
166,0,0.0,0.0
167,0,0.0,0.0
168,10004025,10003519.0,506.0
169,0,0.0,506.0
170,0,0.0,506.0
171,0,506.0,0.0
172,0,0.0,0.0
173,0,0.0,0.0
174,0,0.0,0.0
175,0,0.0,0.0
176,0,0.0,0.0
177,0,0.0,0.0
178,0,0.0,0.0
179,0,0.0,0.0
180,0,0.0,0.0
