,ndosi,second_doses,stock_values
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,0,0.0,0.0
11,0,0.0,0.0
12,0,0.0,0.0
13,0,0.0,0.0
14,10000681,0.0,0.0
15,0,0.0,0.0
16,9994936,0.0,4995904.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,9998707,0.0,4998378.0
22,0,0.0,4998378.0
23,0,0.0,4998378.0
24,0,0.0,4998378.0
25,0,0.0,4998378.0
26,0,0.0,4998378.0
27,0,0.0,4998378.0
28,0,0.0,4998378.0
29,10004733,0.0,15003111.0
30,10000497,0.0,14999713.0
31,0,0.0,14999713.0
32,0,0.0,14999713.0
33,0,0.0,14999713.0
34,0,0.0,14999713.0
35,0,10000681.0,4999032.0
36,0,0.0,4999032.0
37,0,4999032.0,0.0
38,9996233,4995904.0,5000329.0
39,0,0.0,5000329.0
40,0,0.0,5000329.0
41,0,0.0,5000329.0
42,0,5000329.0,0.0
43,0,0.0,0.0
44,0,0.0,0.0
45,0,0.0,0.0
46,0,0.0,0.0
47,0,0.0,0.0
48,0,0.0,0.0
49,0,0.0,0.0
50,0,0.0,0.0
51,10003895,10003895.0,0.0
52,10001824,0.0,10001824.0
53,0,0.0,10001824.0
54,0,0.0,10001824.0
55,0,0.0,4830.0
56,0,0.0,4830.0
57,0,0.0,4830.0
58,0,0.0,4830.0
59,0,0.0,4830.0
60,0,0.0,0.0
61,0,0.0,0.0
62,0,0.0,0.0
63,0,0.0,0.0
64,0,0.0,0.0
65,0,0.0,0.0
66,0,0.0,0.0
67,0,0.0,0.0
68,0,0.0,0.0
69,0,0.0,0.0
70,0,0.0,0.0
71,9998709,0.0,8968.0
72,0,0.0,0.0
73,0,0.0,0.0
74,0,0.0,0.0
75,0,0.0,0.0
76,10004605,9996994.0,0.0
77,0,0.0,0.0
78,0,0.0,0.0
79,0,0.0,0.0
80,0,0.0,0.0
81,10001916,4830.0,9997086.0
82,0,0.0,9997086.0
83,0,0.0,9997086.0
84,0,0.0,9989741.0
85,0,0.0,9989741.0
86,0,0.0,9989741.0
87,0,0.0,9989741.0
88,0,0.0,9989741.0
89,0,0.0,9989741.0
90,0,0.0,9989741.0
91,0,0.0,9989741.0
92,0,9989741.0,0.0
93,10001699,8968.0,9992731.0
94,0,0.0,9992731.0
95,0,0.0,9992731.0
96,0,0.0,9992731.0
97,0,7611.0,9985120.0
98,0,0.0,9985120.0
99,0,0.0,9985120.0
100,0,0.0,0.0
101,0,0.0,0.0
102,0,0.0,0.0
103,0,0.0,0.0
104,0,0.0,0.0
105,10003072,7345.0,9995727.0
106,0,0.0,0.0
107,9998205,0.0,0.0
108,0,0.0,0.0
109,0,0.0,0.0
110,0,0.0,0.0
111,0,0.0,0.0
112,0,0.0,0.0
113,0,0.0,0.0
114,0,0.0,0.0
115,0,0.0,0.0
116,0,0.0,0.0
117,0,0.0,0.0
118,0,0.0,0.0
119,0,0.0,0.0
120,0,0.0,0.0
121,10004258,9985120.0,0.0
122,0,0.0,0.0
123,0,0.0,0.0
124,0,0.0,0.0
125,0,0.0,0.0
126,0,0.0,0.0
127,9995727,9995727.0,0.0
128,10001061,9998205.0,2856.0
129,0,0.0,2856.0
130,0,0.0,2856.0
131,10002637,0.0,10005493.0
132,0,0.0,10005493.0
133,0,0.0,10005493.0
134,0,0.0,10005493.0
135,9998683,0.0,20004176.0
136,0,0.0,20004176.0
137,0,0.0,20004176.0
138,10003769,0.0,30007945.0
139,0,0.0,30007945.0
140,0,0.0,30007945.0
141,0,0.0,30007945.0
142,0,19138.0,19992985.0
143,0,0.0,19992985.0
144,0,0.0,19992985.0
145,0,0.0,19992985.0
146,0,0.0,19992985.0
147,0,0.0,19992985.0
148,0,0.0,19992985.0
149,0,0.0,19992985.0
150,0,0.0,19992985.0
151,0,0.0,19992985.0
152,0,0.0,19992985.0
153,0,0.0,19992985.0
154,0,0.0,9997391.0
155,0,0.0,9997391.0
156,0,0.0,9997391.0
157,0,0.0,9997391.0
158,0,0.0,9997391.0
159,0,0.0,0.0
160,0,0.0,0.0
161,0,0.0,0.0
162,0,0.0,0.0
163,9995822,9995822.0,0.0
164,0,0.0,0.0
165,0,0.0,0.0
166,0,0.0,0.0
167,0,0.0,0.0
168,0,0.0,0.0
169,0,0.0,0.0
170,0,0.0,0.0
171,0,0.0,0.0
172,0,0.0,0.0
173,0,0.0,0.0
174,0,0.0,0.0
175,9995594,9995594.0,0.0
176,0,0.0,0.0
177,0,0.0,0.0
178,0,0.0,0.0
179,0,0.0,0.0
180,9997391,9997391.0,0.0
