,ndosi,second_doses,stock_values
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,0,0.0,0.0
11,0,0.0,0.0
12,9990010,0.0,9990010.0
13,0,0.0,9990010.0
14,0,0.0,9990010.0
15,0,0.0,9990010.0
16,0,0.0,9990010.0
17,0,0.0,9990010.0
18,0,0.0,9990010.0
19,0,0.0,9990010.0
20,10001583,0.0,19991593.0
21,0,0.0,10003163.0
22,0,0.0,4580.0
23,0,0.0,4580.0
24,0,0.0,4580.0
25,0,0.0,4580.0
26,9999778,0.0,10004358.0
27,0,0.0,0.0
28,0,0.0,0.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
37,0,0.0,0.0
38,0,0.0,0.0
39,0,0.0,0.0
40,0,0.0,0.0
41,0,0.0,0.0
42,10006265,9988430.0,0.0
43,9998583,9998583.0,0.0
44,0,0.0,0.0
45,0,0.0,0.0
46,0,0.0,0.0
47,0,0.0,0.0
48,10004358,10004358.0,0.0
49,0,0.0,0.0
50,0,0.0,0.0
51,0,0.0,0.0
52,0,0.0,0.0
53,0,0.0,0.0
54,0,0.0,0.0
55,0,0.0,0.0
56,0,0.0,0.0
57,0,0.0,0.0
58,0,0.0,0.0
59,0,0.0,0.0
60,0,0.0,0.0
61,10000187,0.0,10000187.0
62,0,0.0,10000187.0
63,0,17835.0,9982352.0
64,0,0.0,9982352.0
65,0,0.0,9982352.0
66,0,0.0,9982352.0
67,0,0.0,9982352.0
68,0,0.0,9982352.0
69,0,0.0,9982352.0
70,0,0.0,0.0
71,0,0.0,0.0
72,0,0.0,0.0
73,0,0.0,0.0
74,0,0.0,0.0
75,0,0.0,0.0
76,0,0.0,0.0
77,0,0.0,0.0
78,0,0.0,0.0
79,0,0.0,0.0
80,0,0.0,0.0
81,0,0.0,0.0
82,9994239,0.0,0.0
83,0,0.0,0.0
84,0,0.0,0.0
85,0,0.0,0.0
86,9997414,0.0,0.0
87,0,0.0,0.0
88,0,0.0,0.0
89,0,0.0,0.0
90,0,0.0,0.0
91,9995698,9982352.0,0.0
92,0,0.0,0.0
93,0,0.0,0.0
94,0,0.0,0.0
95,0,0.0,0.0
96,10004117,0.0,10004117.0
97,0,0.0,10004117.0
98,0,0.0,10004117.0
99,0,0.0,10004117.0
100,0,0.0,10004117.0
101,0,0.0,5000346.0
102,10005961,0.0,15006307.0
103,0,9994239.0,5012068.0
104,0,0.0,5012068.0
105,0,0.0,5012068.0
106,0,0.0,5012068.0
107,9998980,9997414.0,5013634.0
108,0,0.0,5013634.0
109,0,0.0,5013634.0
110,0,0.0,5013634.0
111,0,0.0,5013634.0
112,0,13346.0,0.0
113,0,0.0,0.0
114,0,0.0,0.0
115,0,0.0,0.0
116,0,0.0,0.0
117,0,0.0,0.0
118,0,0.0,0.0
119,0,0.0,0.0
120,0,0.0,0.0
121,0,0.0,0.0
122,9998515,5003771.0,0.0
123,0,0.0,0.0
124,0,0.0,0.0
125,0,0.0,0.0
126,0,0.0,0.0
127,0,0.0,0.0
128,0,0.0,0.0
129,0,0.0,0.0
130,0,0.0,0.0
131,0,0.0,0.0
132,0,0.0,0.0
133,10006348,5000288.0,5006060.0
134,10000976,0.0,5006769.0
135,0,0.0,5006769.0
136,0,0.0,5006769.0
137,0,0.0,5006769.0
138,0,0.0,5006769.0
139,0,0.0,0.0
140,9995866,0.0,4997318.0
141,0,0.0,4997318.0
142,0,0.0,4997318.0
143,0,4994744.0,2574.0
144,0,0.0,2574.0
145,9999142,0.0,10001716.0
146,0,0.0,10001716.0
147,0,0.0,10001716.0
148,0,0.0,10001716.0
149,0,0.0,10001716.0
150,0,0.0,10001716.0
151,0,0.0,10001716.0
152,10005668,0.0,10001155.0
153,0,0.0,0.0
154,0,0.0,0.0
155,10003750,10000267.0,3483.0
156,9995266,0.0,9998749.0
157,0,0.0,0.0
158,0,0.0,0.0
159,0,0.0,0.0
160,10005317,5006769.0,4998548.0
161,0,4998548.0,0.0
162,0,0.0,0.0
163,0,0.0,0.0
164,0,0.0,0.0
165,0,0.0,0.0
166,0,0.0,0.0
167,0,0.0,0.0
168,0,0.0,0.0
169,0,0.0,0.0
170,0,0.0,0.0
171,0,0.0,0.0
172,0,0.0,0.0
173,10006229,10006229.0,0.0
174,10001155,10001155.0,0.0
175,0,0.0,0.0
176,0,0.0,0.0
177,0,0.0,0.0
178,9998749,9998749.0,0.0
179,0,0.0,0.0
180,0,0.0,0.0
