,ndosi,second_doses,stock_values
1,0,0.0,0.0
2,9998961,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,10004442,0.0,0.0
11,0,0.0,0.0
12,0,0.0,0.0
13,0,0.0,0.0
14,0,0.0,0.0
15,0,0.0,0.0
16,0,0.0,0.0
17,10002352,0.0,10002352.0
18,0,0.0,10002352.0
19,9999711,0.0,20002063.0
20,0,0.0,20002063.0
21,0,0.0,20002063.0
22,0,0.0,20002063.0
23,0,9998961.0,9997182.5
24,0,0.0,9997182.5
25,0,0.0,9997182.5
26,9999981,0.0,19997163.5
27,0,0.0,10004442.0
28,0,0.0,10004442.0
29,0,0.0,10004442.0
30,0,0.0,10004442.0
31,0,10004442.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
37,0,0.0,0.0
38,0,0.0,0.0
39,0,0.0,0.0
40,0,0.0,0.0
41,0,0.0,0.0
42,0,0.0,0.0
43,10000300,0.0,0.0
44,10003779,5919.5,0.0
45,0,0.0,0.0
46,0,0.0,0.0
47,0,0.0,0.0
48,9998044,9992721.5,0.0
49,0,0.0,0.0
50,0,0.0,0.0
51,0,0.0,0.0
52,0,0.0,0.0
53,10002264,0.0,0.0
54,0,0.0,0.0
55,0,0.0,0.0
56,0,0.0,0.0
57,0,0.0,0.0
58,0,0.0,0.0
59,0,0.0,0.0
60,9998817,0.0,9998817.0
61,0,0.0,979.5
62,0,0.0,979.5
63,10000150,0.0,10001129.5
64,9997030,10000300.0,9997859.5
65,0,9997859.5,0.0
66,0,0.0,0.0
67,0,0.0,0.0
68,9999242,0.0,9999242.0
69,0,5322.5,9993919.5
70,0,0.0,9993919.5
71,0,0.0,9993919.5
72,0,0.0,3607.0
73,9998657,0.0,10002264.0
74,0,10002264.0,0.0
75,0,0.0,0.0
76,0,0.0,0.0
77,0,0.0,0.0
78,0,0.0,0.0
79,9997815,0.0,9979816.5
80,0,0.0,0.0
81,0,0.0,0.0
82,10002684,9997837.5,0.0
83,0,0.0,0.0
84,0,0.0,0.0
85,0,0.0,0.0
86,0,0.0,0.0
87,0,0.0,0.0
88,0,0.0,0.0
89,0,0.0,0.0
90,10001807,0.0,0.0
91,0,0.0,0.0
92,0,0.0,0.0
93,10004069,9990312.5,0.0
94,9996605,0.0,0.0
95,0,0.0,0.0
96,9997785,0.0,0.0
97,0,0.0,0.0
98,10000087,0.0,17998.5
99,0,0.0,17998.5
100,0,17998.5,0.0
101,9995882,9979816.5,16065.5
102,0,0.0,16065.5
103,0,4846.5,0.0
104,9997468,0.0,9997468.0
105,0,0.0,9997468.0
106,0,0.0,9997468.0
107,0,0.0,9997468.0
108,9995879,0.0,19993347.0
109,9996521,0.0,29989868.0
110,10002174,0.0,39992042.0
111,0,10001807.0,29990235.0
112,0,0.0,29990235.0
113,0,0.0,29990235.0
114,0,13756.5,29976478.5
115,0,9996605.0,19979873.5
116,0,0.0,19979873.5
117,0,9997785.0,9982088.5
118,0,0.0,9982088.5
119,0,9982088.5,0.0
120,0,0.0,0.0
121,0,0.0,0.0
122,0,0.0,0.0
123,0,0.0,0.0
124,10000241,11219.0,9989022.0
125,0,0.0,9989022.0
126,0,0.0,9989022.0
127,0,0.0,9989022.0
128,0,0.0,9989022.0
129,0,0.0,9989022.0
130,0,0.0,9989022.0
131,0,0.0,9989022.0
132,0,0.0,9989022.0
133,0,0.0,9989022.0
134,0,0.0,9989022.0
135,0,0.0,9989022.0
136,0,0.0,9989022.0
137,0,0.0,9989022.0
138,0,0.0,9989022.0
139,0,0.0,9989022.0
140,0,0.0,9989022.0
141,0,0.0,9989022.0
142,0,0.0,9989022.0
143,0,0.0,9989022.0
144,0,0.0,9989022.0
145,0,0.0,9989022.0
146,0,0.0,9989022.0
147,0,0.0,9989022.0
148,0,0.0,0.0
149,0,0.0,0.0
150,10003928,0.0,9997672.0
151,0,0.0,9997672.0
152,0,0.0,9997672.0
153,0,0.0,0.0
154,0,0.0,0.0
155,0,0.0,0.0
156,0,0.0,0.0
157,0,0.0,0.0
158,0,0.0,0.0
159,0,0.0,0.0
160,0,0.0,0.0
161,0,0.0,0.0
162,0,0.0,0.0
163,0,0.0,0.0
164,0,0.0,0.0
165,0,0.0,0.0
166,0,0.0,0.0
167,0,0.0,0.0
168,0,0.0,0.0
169,9995278,9989022.0,6256.0
170,0,0.0,6256.0
171,0,6256.0,0.0
172,0,0.0,0.0
173,0,0.0,0.0
174,9997672,9997672.0,0.0
175,0,0.0,0.0
176,0,0.0,0.0
177,0,0.0,0.0
178,0,0.0,0.0
179,0,0.0,0.0
180,0,0.0,0.0
