,ndosi,second_doses,stock_values
1,0,0.0,0.0
2,0,0.0,0.0
3,9996823,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,0,0.0,0.0
11,0,0.0,0.0
12,9997440,0.0,4989039.5
13,0,0.0,4989039.5
14,0,0.0,4989039.5
15,0,0.0,4989039.5
16,0,0.0,4989039.5
17,0,0.0,4989039.5
18,0,0.0,4989039.5
19,0,0.0,4971950.5
20,10002250,0.0,9996823.0
21,0,0.0,9996823.0
22,0,0.0,9996823.0
23,0,0.0,9996823.0
24,0,9996823.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,0,0.0,0.0
28,0,0.0,0.0
29,10003144,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,10004031,0.0,5008400.5
33,0,5008400.5,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
37,0,0.0,0.0
38,0,0.0,0.0
39,0,0.0,0.0
40,10007100,17089.0,0.0
41,9999732,4977377.5,5022354.5
42,0,0.0,0.0
43,0,0.0,0.0
44,0,0.0,0.0
45,0,0.0,0.0
46,0,0.0,0.0
47,0,0.0,0.0
48,0,0.0,0.0
49,9999076,0.0,9999076.0
50,9999819,10003144.0,9995751.0
51,0,0.0,9995751.0
52,0,0.0,4999989.5
53,10000654,4995630.5,0.0
54,0,0.0,0.0
55,0,0.0,0.0
56,0,0.0,0.0
57,9999220,0.0,9999220.0
58,0,0.0,9999220.0
59,0,0.0,9999220.0
60,0,0.0,9990011.0
61,0,9990011.0,0.0
62,0,0.0,0.0
63,10002330,5022354.5,4979975.5
64,0,0.0,4979975.5
65,0,0.0,4979975.5
66,0,0.0,4979975.5
67,0,0.0,4979975.5
68,0,0.0,0.0
69,0,0.0,0.0
70,0,0.0,0.0
71,0,0.0,0.0
72,0,0.0,0.0
73,9999087,4995761.5,0.0
74,10005013,10005013.0,0.0
75,0,0.0,0.0
76,0,0.0,0.0
77,0,0.0,0.0
78,0,0.0,0.0
79,0,0.0,0.0
80,0,0.0,0.0
81,10005807,9209.0,0.0
82,0,0.0,0.0
83,0,0.0,0.0
84,0,0.0,0.0
85,0,0.0,0.0
86,0,0.0,0.0
87,0,0.0,0.0
88,0,0.0,0.0
89,10001875,4979975.5,5003325.5
90,0,0.0,5003325.5
91,0,0.0,5003325.5
92,0,0.0,5003325.5
93,0,0.0,5003325.5
94,0,5003325.5,0.0
95,0,0.0,0.0
96,0,0.0,0.0
97,0,0.0,0.0
98,0,0.0,0.0
99,9996598,0.0,9996598.0
100,0,0.0,9996598.0
101,0,0.0,9996598.0
102,0,9996598.0,0.0
103,0,0.0,0.0
104,0,0.0,0.0
105,0,0.0,0.0
106,9995711,0.0,9995711.0
107,0,0.0,9995711.0
108,0,0.0,9995711.0
109,0,0.0,9995711.0
110,0,18574.0,9977137.0
111,0,0.0,9977137.0
112,0,0.0,9977137.0
113,0,0.0,9977137.0
114,0,0.0,9977137.0
115,0,0.0,9977137.0
116,0,0.0,9977137.0
117,0,0.0,9977137.0
118,0,0.0,9977137.0
119,0,0.0,9977137.0
120,0,0.0,9977137.0
121,10004651,0.0,19981788.0
122,0,0.0,19981788.0
123,0,0.0,19981788.0
124,10002138,0.0,29983926.0
125,9995785,0.0,39979711.0
126,0,0.0,39979711.0
127,0,0.0,39979711.0
128,0,0.0,39979711.0
129,0,0.0,39979711.0
130,0,0.0,39979711.0
131,0,0.0,39979711.0
132,0,0.0,39979711.0
133,10006701,0.0,49986412.0
134,0,0.0,49986412.0
135,0,0.0,49986412.0
136,0,0.0,49986412.0
137,10002782,0.0,59989194.0
138,0,0.0,59989194.0
139,0,0.0,59989194.0
140,0,0.0,59989194.0
141,0,0.0,59989194.0
142,9994873,0.0,59983131.0
143,0,0.0,59983131.0
144,0,0.0,49983741.0
145,0,0.0,49983741.0
146,0,0.0,39983742.0
147,0,0.0,39983742.0
148,0,0.0,29979848.0
149,0,0.0,19986839.0
150,0,0.0,19986839.0
151,0,0.0,19986839.0
152,0,0.0,9992900.0
153,0,0.0,9992900.0
154,10002158,0.0,19995058.0
155,0,0.0,19995058.0
156,0,0.0,9998459.0
157,0,0.0,0.0
158,0,0.0,0.0
159,0,0.0,0.0
160,0,0.0,0.0
161,0,0.0,0.0
162,0,0.0,0.0
163,10000936,10000936.0,0.0
164,0,0.0,0.0
165,9999390,9999390.0,0.0
166,0,0.0,0.0
167,9999999,9999999.0,0.0
168,0,0.0,0.0
169,10003894,10003894.0,0.0
170,9993009,9993009.0,0.0
171,0,0.0,0.0
172,0,0.0,0.0
173,9993939,9993939.0,0.0
174,0,0.0,0.0
175,0,0.0,0.0
176,0,0.0,0.0
177,9996599,9996599.0,0.0
178,9998459,9998459.0,0.0
179,0,0.0,0.0
180,0,0.0,0.0
