;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;0;4277661;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;2;0;10000236;0;4277661;0,0;0,0;0,0;4277661,0;0,0;5722575,0;0,0;0,0;0,0
2;3;0;0;0;4277661;0,0;0,0;0,0;4277661,0;0,0;1444914,0;0,0;0,0;0,0
3;4;0;0;10003607;4277661;0,0;0,0;0,0;-0,0;0,0;1444914,0;4277661,0;0,0;5725946,0
4;5;0;0;10000497;4277661;0,0;0,0;0,0;-0,0;0,0;1444914,0;4277661,0;0,0;11448782,0
5;6;0;0;0;4277661;0,0;0,0;0,0;-0,0;0,0;1444914,0;-0,0;0,0;11448782,0
6;7;0;0;0;4277661;0,0;0,0;0,0;1444914,0;0,0;-0,0;-0,0;0,0;11448782,0
7;8;10002001;9997558;0;4277661;2835719,0;0,0;7166282,0;-0,0;0,0;9997558,0;-0,0;0,0;11448782,0
8;9;0;9996209;0;4277661;-0,0;0,0;7166282,0;-0,0;0,0;19993767,0;4277661,0;0,0;7171121,0
9;10;0;9996801;0;4277661;-0,0;0,0;7166282,0;-0,0;0,0;29990568,0;4277658,0;0,0;2893463,0
10;11;0;0;0;4277661;-0,0;0,0;7166282,0;-0,0;0,0;29990568,0;2893460,0;0,0;3,0
11;12;0;0;10002797;4277661;-0,0;0,0;7166282,0;1384201,0;0,0;28606367,0;2650189,0;0,0;7352611,0
12;13;0;0;9997287;4277661;-0,0;0,0;7166282,0;-0,0;0,0;28606367,0;4277661,0;0,0;13072237,0
13;14;0;0;10002315;4277661;-0,0;0,0;7166282,0;2453140,0;0,0;26153227,0;1824521,0;0,0;21250031,0
14;15;0;9995289;0;4277661;4132375,0;0,0;3033907,0;-0,0;0,0;36148516,0;145286,0;0,0;21104745,0
15;16;0;0;0;4277661;-0,0;0,0;3033907,0;-0,0;0,0;36148516,0;-0,0;0,0;21104745,0
16;17;0;10006580;9998759;4277661;-0,0;0,0;3033907,0;-0,0;0,0;46155096,0;3714536,0;0,0;27388968,0
17;18;10002541;10001093;0;4277661;-0,0;0,0;13036448,0;-0,0;0,0;56156189,0;-0,0;0,0;27388968,0
18;19;0;0;0;4277661;-0,0;0,0;13036448,0;-0,0;0,0;56156189,0;1157231,0;0,0;26231737,0
19;20;0;0;0;4277661;-0,0;0,0;13036448,0;4277661,0;0,0;51878528,0;-0,0;0,0;26231737,0
