;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;0;5110972;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;2;0;0;0;5110972;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;3;0;0;0;5110972;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;4;0;10001010;0;5110972;0,0;0,0;0,0;-0,0;0,0;10001010,0;0,0;0,0;0,0
4;5;0;0;0;5110972;0,0;0,0;0,0;-0,0;0,0;10001010,0;0,0;0,0;0,0
5;6;0;0;0;5110972;0,0;0,0;0,0;-0,0;0,0;10001010,0;0,0;0,0;0,0
6;7;10008836;0;0;5110972;844337,0;0,0;9164499,0;3386925,0;0,0;6614085,0;0,0;0,0;0,0
7;8;0;0;0;5110972;5110972,0;0,0;4053527,0;-0,0;0,0;6614085,0;0,0;0,0;0,0
8;9;0;0;0;5110972;4053527,0;0,0;-0,0;1057445,0;0,0;5556640,0;0,0;0,0;0,0
9;10;9998763;0;10003745;5110972;4883385,0;0,0;5115378,0;227587,0;0,0;5329053,0;-0,0;0,0;10003745,0
10;11;0;0;0;5110972;-0,0;0,0;5115378,0;-0,0;0,0;5329053,0;4344613,0;0,0;5659132,0
11;12;9998985;0;0;5110972;-0,0;0,0;15114363,0;-0,0;0,0;5329053,0;-0,0;0,0;5659132,0
12;13;9999802;10003863;0;5110972;-0,0;0,0;25114165,0;5110972,0;0,0;10221944,0;-0,0;0,0;5659132,0
13;14;0;0;0;5110972;-0,0;0,0;25114165,0;-0,0;0,0;10221944,0;-0,0;0,0;5659132,0
14;15;0;0;9994893;5110972;-0,0;0,0;25114165,0;-0,0;0,0;10221944,0;-0,0;0,0;15654025,0
15;16;0;0;0;5110972;-0,0;0,0;25114165,0;-0,0;0,0;10221944,0;-0,0;0,0;15654025,0
16;17;0;0;0;5110972;-0,0;0,0;25114165,0;-0,0;0,0;10221944,0;5110972,0;0,0;10543053,0
17;18;0;0;0;5110972;-0,0;0,0;25114165,0;-0,0;0,0;10221944,0;-0,0;0,0;10543053,0
18;19;0;0;9999464;5110972;5110972,0;0,0;20003193,0;-0,0;0,0;10221944,0;-0,0;0,0;20542517,0
19;20;0;0;9993291;5110972;-0,0;0,0;20003193,0;-0,0;0,0;10221944,0;-0,0;0,0;30535808,0
20;21;0;0;10002971;5110972;-0,0;0,0;20003193,0;5110972,0;0,0;5110972,0;-0,0;0,0;40538779,0
21;22;0;0;0;5110972;-0,0;0,0;20003193,0;-0,0;0,0;5110972,0;5110972,0;0,0;35427807,0
22;23;0;0;0;5110972;-0,0;0,0;20003193,0;-0,0;0,0;5110972,0;-0,0;0,0;35427807,0
23;24;0;0;0;5110972;-0,0;0,0;20003193,0;5110972,0;0,0;0,0;-0,0;0,0;35427807,0
24;25;0;0;0;5110972;-0,0;0,0;20003193,0;-0,0;0,0;0,0;5110972,0;0,0;30316835,0
25;26;0;0;9996092;5110972;5110972,0;0,0;14892221,0;-0,0;0,0;-0,0;-0,0;0,0;40312927,0
26;27;0;0;0;5110972;-0,0;0,0;14892221,0;-0,0;0,0;0,0;5110972,0;0,0;35201955,0
27;28;0;0;0;5110972;-0,0;844337,0;14047884,0;-0,0;0,0;-0,0;4266635,0;0,0;30935320,0
28;29;0;9999295;0;5110972;-0,0;5110972,0;8936912,0;-0,0;0,0;9999295,0;-0,0;0,0;30935320,0
29;30;0;0;0;5110972;-0,0;4053527,0;4883385,0;1057445,0;0,0;8941850,0;-0,0;0,0;30935320,0
30;31;0;0;0;5110972;-0,0;4883385,0;0,0;-0,0;0,0;8941850,0;-0,0;0,0;30935320,0
31;32;0;0;0;5110972;-0,0;-0,0;0,0;-0,0;-0,0;8941850,0;5110972,0;0,0;25824348,0
32;33;0;9996809;0;5110972;-0,0;-0,0;-0,0;5110972,0;-0,0;13827687,0;-0,0;0,0;25824348,0
33;34;0;0;10001252;5110972;-0,0;-0,0;0,0;5110972,0;-0,0;8716715,0;-0,0;0,0;35825600,0
