;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;0;4111292;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;2;0;0;0;4111292;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;3;0;0;9997037;4111292;0,0;0,0;0,0;0,0;0,0;0,0;4111292,0;0,0;5885745,0
3;4;0;0;0;4111292;0,0;0,0;0,0;0,0;0,0;0,0;4111292,0;0,0;1774453,0
4;5;0;0;0;4111292;0,0;0,0;0,0;0,0;0,0;0,0;-0,0;0,0;1774453,0
5;6;0;10002725;0;4111292;0,0;0,0;0,0;4111292,0;0,0;5891433,0;-0,0;0,0;1774453,0
6;7;0;0;9999723;4111292;0,0;0,0;0,0;-0,0;0,0;5891433,0;-0,0;0,0;11774176,0
7;8;0;9993342;0;4111292;0,0;0,0;0,0;-0,0;0,0;15884775,0;1672648,0;0,0;10101528,0
8;9;0;0;0;4111292;0,0;0,0;0,0;1594205,0;0,0;14290570,0;773779,0;0,0;9327749,0
9;10;0;0;10000860;4111292;0,0;0,0;0,0;-0,0;0,0;14290570,0;1259800,0;0,0;18068809,0
10;11;0;10002749;0;4111292;0,0;0,0;0,0;391661,0;0,0;23901658,0;-0,0;0,0;18068809,0
11;12;0;0;0;4111292;0,0;0,0;0,0;-0,0;0,0;23901658,0;3880816,0;0,0;14187993,0
12;13;0;0;0;4111292;0,0;0,0;0,0;-0,0;0,0;23901658,0;-0,0;0,0;14187993,0
13;14;9999387;0;0;4111292;4111291,0;0,0;5888096,0;-0,0;0,0;23901658,0;-0,0;0,0;14187993,0
14;15;0;0;0;4111292;4111292,0;0,0;1776804,0;-0,0;0,0;23901658,0;-0,0;0,0;14187993,0
15;16;9997036;0;0;4111292;2517087,0;0,0;9256753,0;1074834,0;0,0;22826824,0;-0,0;0,0;14187993,0
16;17;0;0;0;4111292;1941898,0;0,0;7314855,0;2169394,0;0,0;20657430,0;-0,0;0,0;14187993,0
17;18;0;10001230;0;4111292;-0,0;0,0;7314855,0;4111292,0;0,0;26547368,0;-0,0;0,0;14187993,0
18;19;0;0;0;4111292;-0,0;0,0;7314855,0;4111292,0;0,0;22436076,0;-0,0;0,0;14187993,0
19;20;0;10001787;0;4111292;4111292,0;0,0;3203563,0;-0,0;0,0;32437863,0;-0,0;0,0;14187993,0
20;21;0;0;0;4111292;1538697,0;0,0;1664866,0;-0,0;0,0;32437863,0;2572595,0;0,0;11615398,0
21;22;0;0;0;4111292;1664865,0;0,0;1,0;2335484,0;0,0;30102379,0;-0,0;0,0;11615398,0
22;23;0;0;9999258;4111292;-0,0;0,0;1,0;1074834,0;0,0;29027545,0;3036458,0;0,0;18578198,0
