;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;0;5166731;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;2;0;0;0;5166731;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;3;0;0;0;5166731;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;4;0;0;0;5166731;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;5;0;0;9994798;5166731;0,0;0,0;0,0;0,0;0,0;0,0;-0,0;0,0;9994798,0
5;6;9998129;0;0;5166731;5166731,0;0,0;4831398,0;0,0;0,0;0,0;-0,0;0,0;9994798,0
6;7;0;0;0;5166731;3385001,0;0,0;1446397,0;0,0;0,0;0,0;-0,0;0,0;9994798,0
7;8;10003047;0;0;5166731;5166731,0;0,0;6282713,0;0,0;0,0;0,0;-0,0;0,0;9994798,0
8;9;9999804;0;9997365;5166731;5166731,0;0,0;11115786,0;0,0;0,0;0,0;-0,0;0,0;19992163,0
9;10;0;0;0;5166731;436553,0;0,0;10679233,0;0,0;0,0;0,0;-0,0;0,0;19992163,0
10;11;10000485;0;9996057;5166731;5166731,0;0,0;15512987,0;0,0;0,0;0,0;-0,0;0,0;29988220,0
11;12;0;0;0;5166731;1772720,0;0,0;13740267,0;0,0;0,0;0,0;-0,0;0,0;29988220,0
12;13;0;0;0;5166731;-0,0;0,0;13740267,0;0,0;0,0;0,0;-0,0;0,0;29988220,0
13;14;0;0;0;5166731;-0,0;0,0;13740267,0;0,0;0,0;0,0;-0,0;0,0;29988220,0
14;15;0;0;9994765;5166731;5166731,0;0,0;8573536,0;0,0;0,0;0,0;-0,0;0,0;39982985,0
15;16;0;0;0;5166731;-0,0;0,0;8573536,0;0,0;0,0;0,0;-0,0;0,0;39982985,0
16;17;0;0;0;5166731;5166731,0;0,0;3406805,0;0,0;0,0;0,0;-0,0;0,0;39982985,0
17;18;0;0;0;5166731;-0,0;0,0;3406805,0;0,0;0,0;0,0;-0,0;0,0;39982985,0
18;19;0;0;0;5166731;-0,0;0,0;3406805,0;0,0;0,0;0,0;837901,0;0,0;39145084,0
19;20;0;0;0;5166731;2705774,0;0,0;701031,0;0,0;0,0;0,0;-0,0;0,0;39145084,0
20;21;0;0;0;5166731;-0,0;0,0;701031,0;0,0;0,0;0,0;2593156,0;0,0;36551928,0
21;22;0;0;0;5166731;372294,0;0,0;328737,0;0,0;0,0;0,0;-0,0;0,0;36551928,0
22;23;0;0;0;5166731;328737,0;0,0;-0,0;0,0;0,0;0,0;403159,0;0,0;36148769,0
23;24;0;0;0;5166731;-0,0;0,0;-0,0;0,0;0,0;0,0;5166731,0;0,0;30982038,0
24;25;10005495;0;0;5166731;338602,0;0,0;9666893,0;0,0;0,0;0,0;4828129,0;0,0;26153909,0
25;26;10002719;10002632;0;5166731;-0,0;0,0;19669612,0;5166731,0;0,0;4835901,0;-0,0;0,0;26153909,0
26;27;0;0;0;5166731;-0,0;5166731,0;14502881,0;-0,0;0,0;4835901,0;-0,0;0,0;26153909,0
27;28;0;10001356;0;5166731;-0,0;3385001,0;11117880,0;1781730,0;0,0;13055527,0;-0,0;0,0;26153909,0
28;29;9997946;0;10004540;5166731;-0,0;5166731,0;15949095,0;-0,0;0,0;13055527,0;-0,0;0,0;36158449,0
29;30;0;0;0;5166731;-0,0;5166731,0;10782364,0;-0,0;0,0;13055527,0;-0,0;0,0;36158449,0
30;31;0;0;0;5166731;-0,0;436553,0;10345811,0;4730178,0;0,0;8325349,0;-0,0;0,0;36158449,0
31;32;10005170;0;0;5166731;-0,0;5166731,0;15184250,0;-0,0;0,0;8325349,0;-0,0;0,0;36158449,0
32;33;0;0;0;5166731;-0,0;1772720,0;13411530,0;3394011,0;0,0;4931338,0;-0,0;0,0;36158449,0
33;34;0;9999367;10001363;5166731;-0,0;-0,0;13411530,0;2597892,0;0,0;12332813,0;2568838,0;0,0;43590974,0
34;35;0;0;0;5166731;-0,0;-0,0;13411530,0;2514015,0;0,0;9818798,0;2652716,0;0,0;40938258,0
35;36;0;0;0;5166731;-0,0;5166731,0;8244799,0;-0,0;0,0;9818798,0;-0,0;0,0;40938258,0
36;37;0;9998812;0;5166731;-0,0;-0,0;8244799,0;384587,0;0,0;19433023,0;4782144,0;0,0;36156114,0
37;38;0;0;9996571;5166731;-0,0;5166731,0;3078068,0;-0,0;0,0;19433023,0;-0,0;0,0;46152685,0
38;39;0;0;0;5166731;-0,0;-0,0;3078068,0;5166731,0;0,0;14266292,0;-0,0;0,0;46152685,0
39;40;0;9998969;0;5166731;-0,0;-0,0;3078068,0;5166731,0;0,0;19098530,0;-0,0;0,0;46152685,0
40;41;0;0;0;5166731;-0,0;2705774,0;372294,0;-0,0;0,0;19098530,0;2460957,0;0,0;43691728,0
41;42;0;0;9999830;5166731;-0,0;-0,0;372294,0;-0,0;0,0;19098530,0;5166731,0;0,0;48524827,0
42;43;0;10004529;0;5166731;-0,0;372294,0;-0,0;-0,0;0,0;29103059,0;4794437,0;0,0;43730390,0
43;44;10007095;0;0;5166731;4446215,0;328737,0;5232143,0;-0,0;0,0;29103059,0;391779,0;0,0;43338611,0
44;45;0;0;0;5166731;-0,0;-0,0;5232143,0;-0,0;0,0;29103059,0;5166731,0;0,0;38171880,0
45;46;0;0;10003388;5166731;-0,0;338602,0;4893541,0;-0,0;0,0;29103059,0;4828129,0;0,0;43347139,0
46;47;0;0;0;5166731;-0,0;-0,0;4893541,0;5089294,0;0,0;24013765,0;77437,0;0,0;43269702,0
47;48;10001503;0;0;5166731;837901,0;-0,0;14057143,0;-0,0;0,0;24013765,0;4328830,0;0,0;38940872,0
48;49;10004062;10001980;0;5166731;-0,0;-0,0;24061205,0;2534067,0;0,0;31481678,0;2632664,0;0,0;36308208,0
49;50;0;0;0;5166731;4046215,0;-0,0;20014990,0;-0,0;0,0;31481678,0;1120516,0;0,0;35187692,0
50;51;0;0;0;5166731;1600664,0;-0,0;18414326,0;-0,0;0,0;31481678,0;3566067,0;0,0;31621625,0
51;52;0;10005143;0;5166731;-0,0;-0,0;18414326,0;-0,0;0,0;41486821,0;5166731,0;0,0;26454894,0
52;53;0;0;0;5166731;-0,0;-0,0;18414326,0;-0,0;0,0;41486821,0;5166731,0;0,0;21288163,0
53;54;0;0;0;5166731;-0,0;-0,0;18414326,0;-0,0;5166731,0;36320090,0;-0,0;0,0;21288163,0
54;55;0;10000473;0;5166731;5166731,0;-0,0;13247595,0;-0,0;-0,0;46320563,0;-0,0;0,0;21288163,0
55;56;0;0;0;5166731;2632663,0;-0,0;10614932,0;-0,0;1781730,0;44538833,0;752338,0;0,0;20535825,0
56;57;10001490;10004779;0;5166731;-0,0;-0,0;20616422,0;-0,0;-0,0;54543612,0;5166731,0;0,0;15369094,0
57;58;0;0;0;5166731;-0,0;-0,0;20616422,0;-0,0;-0,0;54543612,0;5166731,0;0,0;10202363,0
58;59;0;0;0;5166731;436553,0;-0,0;20179869,0;-0,0;4730178,0;49813434,0;-0,0;0,0;10202363,0
59;60;0;0;0;5166731;4341558,0;-0,0;15838311,0;-0,0;-0,0;49813434,0;825173,0;0,0;9377190,0
60;61;10003316;0;0;5166731;-0,0;-0,0;25841627,0;-0,0;3394011,0;46419423,0;1772720,0;0,0;7604470,0
61;62;9998323;0;9993913;5166731;2568839,0;-0,0;33271111,0;-0,0;2597892,0;43821531,0;-0,0;0,0;17598383,0
62;63;0;9999740;0;5166731;2652716,0;-0,0;30618395,0;-0,0;2514015,0;51307256,0;-0,0;0,0;17598383,0
63;64;0;0;0;5166731;-0,0;-0,0;30618395,0;-0,0;-0,0;51307256,0;5166731,0;0,0;12431652,0
64;65;0;0;0;5166731;-0,0;4446215,0;26172180,0;335929,0;384587,0;50586740,0;-0,0;0,0;12431652,0
65;66;0;0;0;5166731;-0,0;-0,0;26172180,0;-0,0;-0,0;50586740,0;5166731,0;0,0;7264921,0
66;67;0;0;0;5166731;-0,0;-0,0;26172180,0;-0,0;5166731,0;45420009,0;-0,0;0,0;7264921,0
67;68;0;0;0;5166731;-0,0;-0,0;26172180,0;-0,0;5166731,0;40253278,0;-0,0;0,0;7264921,0
68;69;0;0;0;5166731;4328830,0;837901,0;21005449,0;-0,0;-0,0;40253278,0;-0,0;0,0;7264921,0
69;70;0;0;0;5166731;5166731,0;-0,0;15838718,0;-0,0;-0,0;40253278,0;-0,0;0,0;7264921,0
70;71;0;0;0;5166731;-0,0;4046215,0;11792503,0;-0,0;-0,0;40253278,0;1120516,0;0,0;6144405,0
71;72;0;0;10005921;5166731;-0,0;1600664,0;10191839,0;1120516,0;-0,0;39132762,0;2445550,0;0,0;13704776,0
72;73;0;0;0;5166731;2392444,0;-0,0;7799395,0;2774287,0;-0,0;36358475,0;-0,0;0,0;13704776,0
73;74;0;10003057;0;5166731;-0,0;-0,0;7799395,0;-0,0;-0,0;46361532,0;5166731,0;0,0;8538045,0
74;75;0;0;0;5166731;-0,0;-0,0;7799395,0;-0,0;5089294,0;41272238,0;77437,0;0,0;8460608,0
75;76;0;0;0;5166731;-0,0;5166731,0;2632664,0;-0,0;-0,0;41272238,0;-0,0;0,0;8460608,0
76;77;0;0;0;5166731;-0,0;2632663,0;1,0;-0,0;2534067,0;38738171,0;-0,0;0,0;8460608,0
77;78;0;0;0;5166731;-0,0;-0,0;1,0;752338,0;-0,0;37985833,0;4414393,0;0,0;4046215,0
78;79;0;0;0;5166731;-0,0;-0,0;1,0;1120516,0;-0,0;36865317,0;4046215,0;0,0;0,0
79;80;9999666;0;10001571;5166731;-0,0;436553,0;9563114,0;3566066,0;-0,0;33299251,0;1164112,0;0,0;8837459,0
80;81;0;10000209;0;5166731;-0,0;4341558,0;5221556,0;825173,0;-0,0;42474287,0;-0,0;0,0;8837459,0
81;82;0;0;0;5166731;-0,0;-0,0;5221556,0;825173,0;-0,0;41649114,0;4341558,0;0,0;4495901,0
82;83;0;0;9998323;5166731;-0,0;2568839,0;2652717,0;2597892,0;-0,0;39051222,0;-0,0;-0,0;14494224,0
83;84;0;0;0;5166731;-0,0;2652716,0;1,0;1759992,0;-0,0;37291230,0;754023,0;-0,0;13740201,0
84;85;0;0;0;5166731;-0,0;-0,0;1,0;-0,0;-0,0;37291230,0;5166731,0;-0,0;8573470,0
85;86;0;0;0;5166731;-0,0;-0,0;1,0;5166731,0;-0,0;32124499,0;-0,0;-0,0;8573470,0
86;87;0;0;0;5166731;-0,0;-0,0;1,0;-0,0;-0,0;32124499,0;5166731,0;-0,0;3406739,0
