;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;0;4166387;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;2;0;0;0;4166387;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;3;0;0;0;4166387;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;4;9995560;0;0;4166387;3791032,0;0,0;6204528,0;0,0;0,0;0,0;0,0;0,0;0,0
4;5;0;0;0;4166387;2038141,0;0,0;4166387,0;0,0;0,0;0,0;0,0;0,0;0,0
5;6;0;0;0;4166387;4166387,0;0,0;-0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;7;0;10001983;0;4166387;-0,0;0,0;-0,0;2740975,0;0,0;7261008,0;0,0;0,0;0,0
7;8;10003410;0;0;4166387;4166387,0;0,0;5837023,0;-0,0;0,0;7261008,0;0,0;0,0;0,0
8;9;0;0;0;4166387;4166387,0;0,0;1670636,0;-0,0;0,0;7261008,0;0,0;0,0;0,0
9;10;9996212;0;0;4166387;-0,0;0,0;11666848,0;4166387,0;0,0;3094621,0;0,0;0,0;0,0
10;11;0;0;0;4166387;2805310,0;0,0;8861538,0;1361077,0;0,0;1733544,0;0,0;0,0;0,0
11;12;0;0;0;4166387;2440871,0;0,0;6420667,0;1725516,0;0,0;8028,0;0,0;0,0;0,0
12;13;9996108;10001326;0;4166387;1119276,0;0,0;15297499,0;3047111,0;0,0;6962243,0;0,0;0,0;0,0
13;14;0;10000051;0;4166387;-0,0;0,0;15297499,0;37698,0;0,0;16924596,0;0,0;0,0;0,0
14;15;0;0;0;4166387;-0,0;0,0;15297499,0;-0,0;0,0;16924596,0;0,0;0,0;0,0
15;16;0;0;0;4166387;2870643,0;0,0;12426856,0;1011819,0;0,0;15912777,0;0,0;0,0;0,0
16;17;9997588;0;0;4166387;-0,0;0,0;22424444,0;4166387,0;0,0;11746390,0;0,0;0,0;0,0
17;18;0;0;0;4166387;2743950,0;0,0;19680494,0;1422437,0;0,0;10323953,0;0,0;0,0;0,0
18;19;0;0;9996019;4166387;2440871,0;0,0;17239623,0;1725516,0;0,0;8598437,0;-0,0;0,0;9996019,0
19;20;9996178;0;0;4166387;1119276,0;0,0;26116525,0;747403,0;0,0;7851034,0;2299708,0;0,0;7696311,0
20;21;0;0;0;4166387;4128689,0;0,0;21987836,0;37698,0;0,0;7813336,0;-0,0;0,0;7696311,0
21;22;0;0;0;4166387;-0,0;0,0;21987836,0;-0,0;0,0;7813336,0;4166387,0;0,0;3529924,0
22;23;0;0;0;4166387;-0,0;0,0;21987836,0;1011819,0;0,0;6801517,0;3154568,0;0,0;375356,0
23;24;0;0;0;4166387;-0,0;0,0;21987836,0;4166386,0;0,0;2635131,0;-0,0;0,0;375356,0
24;25;0;0;0;4166387;-0,0;3791032,0;18196804,0;-0,0;0,0;2635131,0;375355,0;0,0;1,0
25;26;0;0;0;4166387;2128246,0;2038141,0;14030417,0;-0,0;0,0;2635131,0;-0,0;0,0;1,0
26;27;0;0;0;4166387;-0,0;4166387,0;9864030,0;-0,0;0,0;2635131,0;-0,0;0,0;1,0
27;28;0;0;0;4166387;1531256,0;-0,0;8332774,0;2635131,0;0,0;0,0;-0,0;0,0;1,0
28;29;0;0;0;4166387;-0,0;4166387,0;4166387,0;-0,0;0,0;0,0;-0,0;0,0;1,0
29;30;0;0;0;4166387;-0,0;4166387,0;-0,0;-0,0;0,0;0,0;-0,0;0,0;1,0
30;31;10003921;9993955;0;4166387;-0,0;-0,0;10003921,0;4166386,0;0,0;5827569,0;1,0;0,0;-0,0
31;32;0;0;0;4166387;-0,0;2805310,0;7198611,0;1361077,0;0,0;4466492,0;-0,0;0,0;0,0
32;33;0;0;0;4166387;-0,0;2440871,0;4757740,0;1725516,0;0,0;2740976,0;-0,0;0,0;-0,0
33;34;0;0;9996014;4166387;-0,0;1119276,0;3638464,0;-0,0;0,0;2740976,0;3047111,0;0,0;6948903,0
34;35;0;0;0;4166387;-0,0;-0,0;3638464,0;-0,0;2740975,0;1,0;1425412,0;0,0;5523491,0
35;36;0;0;0;4166387;-0,0;-0,0;3638464,0;-0,0;-0,0;1,0;4166387,0;0,0;1357104,0
36;37;0;0;0;4166387;-0,0;2870643,0;767821,0;-0,0;-0,0;1,0;1295744,0;0,0;61360,0
37;38;10004302;9998791;0;4166387;-0,0;-0,0;10772123,0;-0,0;4166387,0;5832405,0;-0,0;0,0;61360,0
38;39;0;9999654;0;4166387;-0,0;2743950,0;8028173,0;-0,0;1361077,0;14470982,0;61360,0;0,0;-0,0
39;40;0;0;0;4166387;-0,0;2440871,0;5587302,0;-0,0;1725516,0;12745466,0;-0,0;0,0;-0,0
40;41;0;0;10001758;4166387;-0,0;1119276,0;4468026,0;-0,0;3047111,0;9698355,0;-0,0;0,0;10001758,0
