;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;10001705;0;9111418;0,0;0,0;0,0;5273293,0;0,0;4728412,0;0,0;0,0;0,0
1;2;0;0;10003642;9111418;0,0;0,0;0,0;-0,0;0,0;4728412,0;5329184,0;0,0;4674458,0
2;3;0;10000605;10000006;9111418;0,0;0,0;0,0;-0,0;0,0;14729017,0;5321996,0;0,0;9352468,0
3;4;0;10000353;0;9111418;0,0;0,0;0,0;-0,0;0,0;24729370,0;-0,0;0,0;9352468,0
4;5;9998919;0;0;9111418;-0,0;0,0;9998919,0;-0,0;0,0;24729370,0;-0,0;0,0;9352468,0
5;6;0;0;0;9111418;-0,0;0,0;9998919,0;-0,0;0,0;24729370,0;-0,0;0,0;9352468,0
6;7;0;0;0;9111418;-0,0;0,0;9998919,0;-0,0;0,0;24729370,0;-0,0;0,0;9352468,0
7;8;0;0;0;9111418;-0,0;0,0;9998919,0;-0,0;0,0;24729370,0;-0,0;0,0;9352468,0
8;9;9996224;0;0;9111418;-0,0;0,0;19995143,0;-0,0;0,0;24729370,0;-0,0;0,0;9352468,0
9;10;0;0;0;9111418;-0,0;0,0;19995143,0;1,0;0,0;24729369,0;5329184,0;0,0;4023284,0
10;11;0;0;0;9111418;-0,0;0,0;19995143,0;-0,0;0,0;24729369,0;-0,0;0,0;4023284,0
11;12;0;0;0;9111418;-0,0;0,0;19995143,0;-0,0;0,0;24729369,0;59616,0;0,0;3963668,0
12;13;0;0;0;9111418;-0,0;0,0;19995143,0;5139558,0;0,0;19589811,0;-0,0;0,0;3963668,0
13;14;0;0;0;9111418;-0,0;0,0;19995143,0;-0,0;0,0;19589811,0;-0,0;0,0;3963668,0
14;15;0;0;0;9111418;43436,0;0,0;19951707,0;-0,0;0,0;19589811,0;-0,0;0,0;3963668,0
15;16;0;0;0;9111418;-0,0;0,0;19951707,0;-0,0;0,0;19589811,0;-0,0;0,0;3963668,0
16;17;0;0;0;9111418;-0,0;0,0;19951707,0;-0,0;0,0;19589811,0;3963668,0;0,0;-0,0
17;18;0;0;10002454;9111418;-0,0;0,0;19951707,0;-0,0;0,0;19589811,0;2687967,0;0,0;7314487,0
18;19;9996162;0;0;9111418;5329184,0;0,0;24618685,0;-0,0;0,0;19589811,0;-0,0;0,0;7314487,0
19;20;0;0;0;9111418;-0,0;0,0;24618685,0;-0,0;0,0;19589811,0;5269569,0;0,0;2044918,0
20;21;0;0;0;9111418;-0,0;0,0;24618685,0;5329184,0;0,0;14260627,0;-0,0;0,0;2044918,0
21;22;0;0;9998051;9111418;5302914,0;0,0;19315771,0;-0,0;0,0;14260627,0;26270,0;0,0;12016699,0
22;23;0;0;0;9111418;1,0;0,0;19315770,0;-0,0;0,0;14260627,0;5329184,0;0,0;6687515,0
23;24;0;0;0;9111418;3970855,0;0,0;15344915,0;-0,0;0,0;14260627,0;1358329,0;0,0;5329186,0
24;25;0;0;0;9111418;5329184,0;0,0;10015731,0;-0,0;0,0;14260627,0;1,0;0,0;5329185,0
25;26;0;0;0;9111418;-0,0;-0,0;10015731,0;-0,0;0,0;14260627,0;5329184,0;0,0;1,0
26;27;0;0;0;9111418;-0,0;-0,0;10015731,0;-0,0;0,0;14260627,0;-0,0;0,0;1,0
27;28;0;0;0;9111418;-0,0;-0,0;10015731,0;-0,0;0,0;14260627,0;1,0;0,0;-0,0
28;29;0;0;10000837;9111418;55892,0;-0,0;9959839,0;-0,0;5273293,0;8987334,0;-0,0;0,0;10000837,0
29;30;0;0;10006251;9111418;-0,0;-0,0;9959839,0;5329184,0;-0,0;3658150,0;-0,0;0,0;20007088,0
30;31;9998552;0;0;9111418;-0,0;-0,0;19958391,0;-0,0;-0,0;3658150,0;-0,0;0,0;20007088,0
31;32;0;10000503;0;9111418;-0,0;-0,0;19958391,0;-0,0;-0,0;13658653,0;5329185,0;0,0;14677903,0
32;33;0;0;0;9111418;-0,0;-0,0;19958391,0;-0,0;-0,0;13658653,0;3684423,0;0,0;10993480,0
33;34;0;0;10001781;9111418;-0,0;-0,0;19958391,0;-0,0;-0,0;13658653,0;5329184,0;0,0;15666077,0
34;35;0;0;0;9111418;4665222,0;-0,0;15293169,0;-0,0;-0,0;13658653,0;663963,0;0,0;15002114,0
35;36;10003370;0;0;9111418;-0,0;43436,0;25253103,0;-0,0;-0,0;13658653,0;4721113,0;0,0;10281001,0
36;37;0;0;0;9111418;-0,0;-0,0;25253103,0;-0,0;-0,0;13658653,0;4951816,0;0,0;5329185,0
37;38;0;0;0;9111418;-0,0;-0,0;25253103,0;3970854,0;1,0;9687798,0;-0,0;0,0;5329185,0
38;39;0;10000854;0;9111418;-0,0;-0,0;25253103,0;1,0;-0,0;19688651,0;5329184,0;0,0;1,0
39;40;0;0;0;9111418;-0,0;5329184,0;19923919,0;-0,0;-0,0;19688651,0;-0,0;0,0;1,0
