;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;0;10222444;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;2;0;10001323;0;10222444;0,0;0,0;0,0;5360415,0;0,0;4640908,0;0,0;0,0;0,0
2;3;0;0;0;10222444;0,0;0,0;0,0;4640908,0;0,0;0,0;0,0;0,0;0,0
3;4;0;0;0;10222444;0,0;0,0;0,0;-0,0;0,0;-0,0;0,0;0,0;0,0
4;5;0;10002026;0;10222444;0,0;0,0;0,0;5360415,0;0,0;4641611,0;0,0;0,0;0,0
5;6;0;0;9998563;10222444;0,0;0,0;0,0;2320806,0;0,0;2320805,0;3039609,0;0,0;6958954,0
6;7;0;0;0;10222444;0,0;0,0;0,0;2320805,0;0,0;0,0;2939629,0;0,0;4019325,0
7;8;0;0;0;10222444;0,0;0,0;0,0;-0,0;0,0;-0,0;-0,0;0,0;4019325,0
8;9;0;0;0;10222444;0,0;0,0;0,0;-0,0;0,0;0,0;-0,0;0,0;4019325,0
9;10;0;0;0;10222444;0,0;0,0;0,0;-0,0;0,0;-0,0;1,0;0,0;4019324,0
10;11;0;0;0;10222444;0,0;0,0;0,0;-0,0;0,0;-0,0;-0,0;0,0;4019324,0
11;12;0;10002415;0;10222444;0,0;0,0;0,0;-0,0;0,0;10002415,0;-0,0;0,0;4019324,0
12;13;0;0;0;10222444;0,0;0,0;0,0;-0,0;0,0;10002415,0;-0,0;0,0;4019324,0
13;14;0;0;0;10222444;0,0;0,0;0,0;2068313,0;0,0;7934102,0;2140272,0;0,0;1879052,0
14;15;10004075;10000191;0;10222444;5360415,0;0,0;4643660,0;-0,0;0,0;17934293,0;-0,0;0,0;1879052,0
15;16;0;0;0;10222444;4376683,0;0,0;266977,0;-0,0;0,0;17934293,0;983731,0;0,0;895321,0
16;17;0;0;10002582;10222444;266976,0;0,0;1,0;2367310,0;0,0;15566983,0;2726128,0;0,0;8171775,0
17;18;0;0;0;10222444;-0,0;0,0;1,0;2689380,0;0,0;12877603,0;2671035,0;0,0;5500740,0
18;19;9996164;9996911;10005795;10222444;5360415,0;0,0;4635750,0;-0,0;0,0;22874514,0;-0,0;0,0;15506535,0
19;20;0;10005862;0;10222444;2217194,0;0,0;2418556,0;3143221,0;0,0;29737155,0;-0,0;0,0;15506535,0
20;21;0;0;0;10222444;2418555,0;0,0;1,0;2268359,0;0,0;27468796,0;673500,0;0,0;14833035,0
21;22;10000541;0;0;10222444;5360415,0;0,0;4640127,0;-0,0;0,0;27468796,0;-0,0;0,0;14833035,0
22;23;10005153;0;0;10222444;1916626,0;0,0;12728654,0;3443790,0;0,0;24025006,0;-0,0;0,0;14833035,0
23;24;9996644;9998419;0;10222444;-0,0;0,0;22725298,0;5360415,0;0,0;28663010,0;-0,0;0,0;14833035,0
24;25;0;0;0;10222444;2671035,0;0,0;20054263,0;2689380,0;0,0;25973630,0;-0,0;0,0;14833035,0
25;26;0;0;0;10222444;2671034,0;0,0;17383229,0;2689380,0;0,0;23284250,0;-0,0;0,0;14833035,0
26;27;0;0;0;10222444;2217194,0;0,0;15166035,0;3143221,0;0,0;20141029,0;-0,0;0,0;14833035,0
27;28;0;0;0;10222444;2217194,0;0,0;12948841,0;3143221,0;0,0;16997808,0;-0,0;0,0;14833035,0
28;29;9994733;0;0;10222444;692927,0;0,0;22250647,0;3602124,0;0,0;13395684,0;1065365,0;0,0;13767670,0
29;30;0;0;0;10222444;-0,0;0,0;22250647,0;-0,0;5360415,0;8035269,0;-0,0;0,0;13767670,0
30;31;0;0;0;10222444;-0,0;0,0;22250647,0;719507,0;4640908,0;2674854,0;-0,0;0,0;13767670,0
31;32;0;0;9997705;10222444;-0,0;0,0;22250647,0;-0,0;-0,0;2674854,0;5360415,0;0,0;18404960,0
32;33;0;9999182;9999144;10222444;-0,0;0,0;22250647,0;-0,0;5360415,0;7313621,0;-0,0;0,0;28404104,0
33;34;0;0;10000518;10222444;-0,0;0,0;22250647,0;-0,0;2320806,0;4992815,0;3039612,0;0,0;35365010,0
34;35;0;0;0;10222444;-0,0;0,0;22250647,0;2672010,0;2320805,0;-0,0;367597,0;0,0;34997413,0
35;36;0;10002868;0;10222444;-0,0;5360415,0;16890232,0;-0,0;-0,0;10002868,0;-0,0;0,0;34997413,0
36;37;0;0;0;10222444;-0,0;4376683,0;12513549,0;983732,0;-0,0;9019136,0;-0,0;0,0;34997413,0
37;38;10003374;9995628;0;10222444;-0,0;266976,0;22249947,0;2049096,0;-0,0;16965668,0;3044342,0;0,0;31953071,0
38;39;0;10004942;10000493;10222444;-0,0;-0,0;22249947,0;2422403,0;-0,0;24548207,0;2938012,0;0,0;39015552,0
39;40;0;0;0;10222444;-0,0;5360415,0;16889532,0;-0,0;-0,0;24548207,0;-0,0;0,0;39015552,0
40;41;0;0;0;10222444;1,0;2217194,0;14672337,0;-0,0;-0,0;24548207,0;3143221,0;0,0;35872331,0
41;42;10000532;0;0;10222444;-0,0;2418555,0;22254314,0;-0,0;2068313,0;22479894,0;873546,0;0,0;34998785,0
42;43;0;0;0;10222444;-0,0;5360415,0;16893899,0;-0,0;-0,0;22479894,0;-0,0;0,0;34998785,0
43;44;0;0;0;10222444;-0,0;1916626,0;14977273,0;-0,0;-0,0;22479894,0;3443790,0;0,0;31554995,0
44;45;0;0;0;10222444;-0,0;-0,0;14977273,0;-0,0;2367310,0;20112584,0;2993108,0;0,0;28561887,0
45;46;0;0;0;10222444;-0,0;2671035,0;12306238,0;-0,0;2689380,0;17423204,0;-0,0;0,0;28561887,0
46;47;0;0;0;10222444;-0,0;2671034,0;9635204,0;-0,0;-0,0;17423204,0;2689380,0;0,0;25872507,0
47;48;0;0;0;10222444;-0,0;2217194,0;7418010,0;-0,0;3143221,0;14279983,0;3,0;0,0;25872504,0
48;49;9998439;0;0;10222444;-0,0;2217194,0;15199255,0;-0,0;2268359,0;12011624,0;874850,0;0,0;24997654,0
49;50;9996409;9998792;0;10222444;4667488,0;692927,0;19835249,0;-0,0;-0,0;22010416,0;-0,0;0,0;24997654,0
50;51;0;0;0;10222444;1916625,0;-0,0;17918624,0;-0,0;3443790,0;18566626,0;-0,0;0,0;24997654,0
51;52;0;10000172;0;10222444;-0,0;-0,0;17918624,0;-0,0;5360415,0;23206383,0;-0,0;0,0;24997654,0
52;53;10005101;0;9998286;10222444;1946554,0;-0,0;25977171,0;-0,0;2689380,0;20517003,0;724484,0;0,0;34271456,0
53;54;0;0;0;10222444;2671035,0;-0,0;23306136,0;-0,0;2689380,0;17827623,0;3,0;0,0;34271453,0
54;55;0;0;0;10222444;1231535,0;-0,0;22074601,0;-0,0;3143221,0;14684402,0;985662,0;0,0;33285791,0
55;56;0;9998901;0;10222444;2217193,0;-0,0;19857408,0;-0,0;3143221,0;21540082,0;-0,0;0,0;33285791,0
56;57;0;10003537;0;10222444;1758291,0;-0,0;18099117,0;-0,0;3602124,0;27941495,0;-0,0;0,0;33285791,0
57;58;0;0;10002614;10222444;5360415,0;-0,0;12738702,0;-0,0;-0,0;27941495,0;-0,0;0,0;43288405,0
58;59;0;0;0;10222444;1236390,0;-0,0;11502312,0;-0,0;719507,0;27221988,0;3404509,0;0,0;39883896,0
59;60;0;9998974;0;10222444;4124025,0;-0,0;7378287,0;-0,0;-0,0;37220962,0;1236390,0;0,0;38647506,0
60;61;10000810;10003292;0;10222444;2053950,0;-0,0;15325147,0;-0,0;-0,0;47224254,0;3306467,0;0,0;35341039,0
61;62;0;0;10003380;10222444;2320806,0;1,0;13004340,0;-0,0;-0,0;47224254,0;3039609,0;0,0;42304810,0
62;63;0;0;0;10222444;-0,0;-0,0;13004340,0;-0,0;2672010,0;44552244,0;2688405,0;0,0;39616405,0
63;64;0;0;9998113;10222444;-0,0;-0,0;13004340,0;-0,0;-0,0;44552244,0;5360415,0;0,0;44254103,0
64;65;0;0;0;10222444;-0,0;-0,0;13004340,0;-0,0;983732,0;43568512,0;4376683,0;0,0;39877420,0
65;66;10001187;0;0;10222444;-0,0;-0,0;23005527,0;3311319,0;2049096,0;38208097,0;3,0;0,0;39877417,0
66;67;0;10001909;0;10222444;-0,0;-0,0;23005527,0;2222181,0;2422403,0;43565422,0;715832,0;0,0;39161585,0
67;68;0;0;0;10222444;-0,0;-0,0;23005527,0;2689380,0;-0,0;40876042,0;2671038,0;0,0;36490547,0
68;69;0;0;0;10222444;1,0;-0,0;23005526,0;5360415,0;-0,0;35515627,0;-0,0;0,0;36490547,0
69;70;0;0;9996132;10222444;-0,0;-0,0;23005526,0;5360415,0;-0,0;30155212,0;-0,0;0,0;46486679,0
70;71;0;0;0;10222444;-0,0;4667488,0;18338038,0;692927,0;-0,0;29462285,0;-0,0;0,0;46486679,0
71;72;0;0;0;10222444;-0,0;1916625,0;16421413,0;171988,0;-0,0;29290297,0;3271802,0;0,0;43214877,0
72;73;0;0;0;10222444;-0,0;-0,0;16421413,0;5360415,0;-0,0;23929882,0;-0,0;0,0;43214877,0
73;74;0;10000496;0;10222444;-0,0;1946554,0;14474859,0;3405212,0;-0,0;30525166,0;8649,0;0,0;43206228,0
74;75;0;0;0;10222444;-0,0;2671035,0;11803824,0;-0,0;-0,0;30525166,0;2689377,0;0,0;40516851,0
75;76;0;0;0;10222444;-0,0;1231535,0;10572289,0;2689380,0;-0,0;27835786,0;1439500,0;0,0;39077351,0
76;77;0;0;0;10222444;-0,0;2217193,0;8355096,0;-0,0;-0,0;27835786,0;3143221,0;0,0;35934130,0
77;78;0;0;0;10222444;-0,0;1758291,0;6596805,0;874865,0;-0,0;26960921,0;2727262,0;0,0;33206868,0
78;79;0;0;0;10222444;-0,0;5360415,0;1236390,0;-0,0;-0,0;26960921,0;-0,0;0,0;33206868,0
79;80;0;0;9997123;10222444;-0,0;1236390,0;-0,0;-0,0;-0,0;26960921,0;4124025,0;0,0;39079966,0
80;81;10004190;0;10002595;10222444;-0,0;4124025,0;5880165,0;1236390,0;-0,0;25724531,0;-0,0;0,0;49082561,0
81;82;9998610;9995196;0;10222444;-0,0;2053950,0;13824825,0;-0,0;-0,0;35719727,0;3306464,0;0,0;45776097,0
82;83;0;0;0;10222444;-0,0;2320806,0;11504019,0;2053945,0;-0,0;33665782,0;985659,0;0,0;44790438,0
83;84;0;0;0;10222444;-0,0;-0,0;11504019,0;-0,0;-0,0;33665782,0;2320806,0;3039609,0;39430023,0
84;85;0;0;0;10222444;1,0;-0,0;11504018,0;-0,0;-0,0;33665782,0;2420788,0;2939629,0;34069606,0
85;86;0;0;0;10222444;-0,0;-0,0;11504018,0;2939629,0;-0,0;30726153,0;2420786,0;-0,0;31648820,0
86;87;0;0;0;10222444;-0,0;-0,0;11504018,0;1955897,0;-0,0;28770256,0;3404518,0;-0,0;28244302,0
87;88;0;0;0;10222444;-0,0;-0,0;11504018,0;2316074,0;-0,0;26454182,0;3044338,0;1,0;25199963,0
88;89;9999142;10001318;0;10222444;-0,0;-0,0;21503160,0;614450,0;-0,0;35841050,0;4745964,0;-0,0;20453999,0
89;90;0;0;0;10222444;-0,0;1,0;21503159,0;3920915,0;-0,0;31920135,0;1439500,0;-0,0;19014499,0
90;91;0;0;0;10222444;-0,0;-0,0;21503159,0;2217194,0;-0,0;29702941,0;3143221,0;-0,0;15871278,0
91;92;0;0;0;10222444;-0,0;-0,0;21503159,0;492881,0;-0,0;29210060,0;2727262,0;2140272,0;11003744,0
92;93;9998072;0;10006702;10222444;-0,0;-0,0;31501231,0;1237352,0;-0,0;27972708,0;4123063,0;-0,0;16887383,0
93;94;0;0;0;10222444;-0,0;-0,0;31501231,0;1065364,0;3311319,0;23596025,0;-0,0;983731,0;15903652,0
94;95;0;0;0;10222444;-0,0;-0,0;31501231,0;412107,0;2222181,0;20961737,0;-0,0;2726128,0;13177524,0
95;96;0;0;0;10222444;-0,0;-0,0;31501231,0;-0,0;2689380,0;18272357,0;-0,0;2671035,0;10506489,0
96;97;0;0;0;10222444;-0,0;-0,0;31501231,0;-0,0;5360415,0;12911942,0;-0,0;-0,0;10506489,0
97;98;0;9998961;0;10222444;-0,0;-0,0;31501231,0;-0,0;5360415,0;17550488,0;-0,0;-0,0;10506489,0
98;99;0;0;0;10222444;3993988,0;-0,0;27507243,0;-0,0;692927,0;16857561,0;-0,0;673500,0;9832989,0
99;100;0;0;0;10222444;4123063,0;-0,0;23384180,0;1065364,0;171988,0;15620209,0;-0,0;-0,0;9832989,0
100;101;10001161;0;0;10222444;-0,0;-0,0;33385341,0;-0,0;5360415,0;10259794,0;-0,0;-0,0;9832989,0
101;102;0;0;0;10222444;1955201,0;-0,0;31430140,0;-0,0;3405212,0;6854582,0;-0,0;-0,0;9832989,0
102;103;0;0;0;10222444;5360415,0;-0,0;26069725,0;-0,0;-0,0;6854582,0;0,0;-0,0;9832989,0
103;104;0;0;0;10222444;2671035,0;-0,0;23398690,0;-0,0;2689380,0;4165202,0;0,0;-0,0;9832989,0
104;105;10004931;0;0;10222444;5360415,0;-0,0;28043206,0;-0,0;-0,0;4165202,0;0,0;-0,0;9832989,0
105;106;0;0;0;10222444;4485552,0;1,0;23557653,0;-0,0;874865,0;3290337,0;0,0;-0,0;9832989,0
106;107;10001985;0;0;10222444;4295051,0;-0,0;29264587,0;-0,0;-0,0;3290337,0;0,0;1065365,0;8767624,0
107;108;10000255;0;0;10222444;5360415,0;-0,0;33904427,0;-0,0;-0,0;3290337,0;0,0;-0,0;8767624,0
108;109;0;0;0;10222444;4124025,0;-0,0;29780402,0;-0,0;1236390,0;2053947,0;0,0;-0,0;8767624,0
109;110;0;0;0;10222444;-0,0;-0,0;29780402,0;2,0;-0,0;2053945,0;0,0;5360415,0;3407209,0
110;111;0;0;0;10222444;3306464,0;-0,0;26473938,0;-0,0;2053945,0;-0,0;0,0;-0,0;3407209,0
111;112;0;10000281;0;10222444;-0,0;-0,0;26473938,0;2320806,0;-0,0;7679475,0;0,0;3039612,0;367597,0
112;113;9999636;9998509;0;10222444;3348643,0;-0,0;33124931,0;1644171,0;-0,0;16033813,0;0,0;367597,0;-0,0
113;114;0;10003418;0;10222444;2420786,0;-0,0;30704145,0;-0,0;2939629,0;23097602,0;0,0;-0,0;-0,0
114;115;0;9998436;0;10222444;2420786,0;-0,0;28283359,0;983732,0;1955897,0;30156409,0;0,0;-0,0;-0,0
115;116;0;0;9999121;10222444;-0,0;-0,0;28283359,0;-0,0;2316074,0;27840335,0;0,0;3044342,0;6954779,0
116;117;0;0;0;10222444;1807952,0;-0,0;26475407,0;-0,0;614450,0;27225885,0;0,0;2938012,0;4016767,0
117;118;0;0;0;10222444;1439500,0;-0,0;25035907,0;-0,0;3920915,0;23304970,0;0,0;-0,0;4016767,0
118;119;0;10001045;0;10222444;-0,0;-0,0;25035907,0;-0,0;2217194,0;31088821,0;0,0;3143221,0;873546,0
119;120;9999191;0;0;10222444;-0,0;3993988,0;31041110,0;-0,0;492881,0;30595940,0;0,0;873546,0;0,0
120;121;0;0;10001137;10222444;-0,0;4123063,0;26918047,0;-0,0;1237352,0;29358588,0;0,0;-0,0;10001137,0
