;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;9999825;0;10004218;8777236;0,0;0,0;9999825,0;0,0;0,0;0,0;0,0;0,0;10004218,0
1;2;0;0;0;8777236;0,0;0,0;9999825,0;0,0;0,0;0,0;0,0;0,0;10004218,0
2;3;0;0;0;8777236;0,0;0,0;9999825,0;0,0;0,0;0,0;0,0;0,0;10004218,0
3;4;0;0;0;8777236;0,0;0,0;9999825,0;0,0;0,0;0,0;4172647,0;0,0;5831571,0
4;5;9995525;0;0;8777236;0,0;0,0;19995350,0;0,0;0,0;0,0;0,0;0,0;5831571,0
5;6;0;0;0;8777236;0,0;0,0;19995350,0;0,0;0,0;0,0;0,0;0,0;5831571,0
6;7;0;0;9997282;8777236;0,0;0,0;19995350,0;0,0;0,0;0,0;0,0;0,0;15828853,0
7;8;0;0;0;8777236;0,0;0,0;19995350,0;0,0;0,0;0,0;8777236,0;0,0;7051617,0
8;9;0;0;0;8777236;8777236,0;0,0;11218114,0;0,0;0,0;0,0;0,0;0,0;7051617,0
9;10;0;0;0;8777236;8777236,0;0,0;2440878,0;0,0;0,0;0,0;0,0;0,0;7051617,0
10;11;0;0;0;8777236;0,0;0,0;2440878,0;0,0;0,0;0,0;6339090,0;0,0;712527,0
11;12;9997662;9996658;0;8777236;0,0;0,0;12438540,0;8777236,0;0,0;1219422,0;0,0;0,0;712527,0
12;13;0;0;0;8777236;0,0;0,0;12438540,0;0,0;0,0;1219422,0;0,0;0,0;712527,0
13;14;0;0;0;8777236;0,0;0,0;12438540,0;0,0;0,0;1219422,0;0,0;0,0;712527,0
14;15;0;0;0;8777236;0,0;0,0;12438540,0;0,0;0,0;1219422,0;0,0;0,0;712527,0
15;16;0;9996756;0;8777236;3052991,0;0,0;9385549,0;0,0;0,0;11216178,0;0,0;0,0;712527,0
16;17;9997413;10003277;0;8777236;0,0;0,0;19382962,0;0,0;0,0;21219455,0;0,0;0,0;712527,0
17;18;0;0;0;8777236;0,0;0,0;19382962,0;8777236,0;0,0;12442219,0;0,0;0,0;712527,0
18;19;10001736;0;0;8777236;0,0;0,0;29384698,0;0,0;0,0;12442219,0;0,0;0,0;712527,0
19;20;0;0;0;8777236;0,0;0,0;29384698,0;0,0;0,0;12442219,0;0,0;0,0;712527,0
20;21;0;0;9997918;8777236;0,0;0,0;29384698,0;0,0;0,0;12442219,0;0,0;0,0;10710445,0
21;22;0;10001830;0;8777236;0,0;0,0;29384698,0;0,0;0,0;22444049,0;0,0;0,0;10710445,0
22;23;0;0;10001847;8777236;0,0;0,0;29384698,0;0,0;0,0;22444049,0;0,0;0,0;20712292,0
23;24;0;0;9998564;8777236;0,0;0,0;29384698,0;8777235,0;0,0;13666814,0;0,0;0,0;30710856,0
24;25;0;0;0;8777236;0,0;0,0;29384698,0;7333707,0;0,0;6333107,0;0,0;0,0;30710856,0
25;26;0;0;0;8777236;0,0;0,0;29384698,0;0,0;0,0;6333107,0;0,0;0,0;30710856,0
26;27;0;10001539;0;8777236;0,0;0,0;29384698,0;0,0;0,0;16334646,0;0,0;0,0;30710856,0
27;28;0;0;0;8777236;8777235,0;0,0;20607463,0;0,0;0,0;16334646,0;0,0;0,0;30710856,0
28;29;0;0;0;8777236;0,0;0,0;20607463,0;0,0;0,0;16334646,0;0,0;0,0;30710856,0
29;30;0;0;0;8777236;0,0;8777236,0;11830227,0;0,0;0,0;16334646,0;0,0;0,0;30710856,0
30;31;0;0;10003913;8777236;0,0;8777236,0;3052991,0;0,0;0,0;16334646,0;0,0;0,0;40714769,0
31;32;0;0;0;8777236;0,0;0,0;3052991,0;0,0;0,0;16334646,0;0,0;0,0;40714769,0
32;33;0;0;0;8777236;0,0;0,0;3052991,0;8777236,0;0,0;7557410,0;0,0;0,0;40714769,0
33;34;0;0;0;8777236;0,0;0,0;3052991,0;0,0;0,0;7557410,0;2444823,0;0,0;38269946,0
34;35;0;0;0;8777236;0,0;0,0;3052991,0;0,0;0,0;7557410,0;0,0;0,0;38269946,0
35;36;0;0;0;8777236;0,0;0,0;3052991,0;0,0;0,0;7557410,0;7553894,0;0,0;30716052,0
36;37;0;0;0;8777236;0,0;3052991,0;0,0;0,0;0,0;7557410,0;0,0;0,0;30716052,0
37;38;0;0;9996084;8777236;0,0;0,0;0,0;0,0;0,0;7557410,0;0,0;0,0;40712136,0
38;39;0;10000107;0;8777236;0,0;0,0;0,0;8777236,0;0,0;8780281,0;0,0;0,0;40712136,0
39;40;9995815;0;9998757;8777236;0,0;0,0;9995815,0;0,0;8777236,0;3045,0;0,0;0,0;50710893,0
40;41;9996750;9995444;0;8777236;8777235,0;0,0;11215330,0;0,0;0,0;9998489,0;0,0;0,0;50710893,0
41;42;0;0;0;8777236;1681220,0;0,0;9534110,0;0,0;0,0;9998489,0;7096016,0;0,0;43614877,0
42;43;0;0;9998855;8777236;1,0;0,0;9534109,0;0,0;0,0;9998489,0;2895549,0;0,0;50718183,0
43;44;0;10000082;0;8777236;0,0;0,0;9534109,0;5110694,0;0,0;14887877,0;0,0;0,0;50718183,0
44;45;0;10000302;0;8777236;0,0;0,0;9534109,0;0,0;0,0;24888179,0;0,0;0,0;50718183,0
45;46;0;0;9999079;8777236;0,0;0,0;9534109,0;0,0;8777236,0;16110943,0;0,0;0,0;60717262,0
46;47;0;0;0;8777236;0,0;0,0;9534109,0;0,0;0,0;16110943,0;0,0;0,0;60717262,0
47;48;0;0;0;8777236;756873,0;0,0;8777236,0;0,0;0,0;16110943,0;0,0;0,0;60717262,0
48;49;0;0;0;8777236;0,0;8777235,0;1,0;0,0;0,0;16110943,0;0,0;0,0;60717262,0
49;50;9998005;0;9999217;8777236;0,0;0,0;9998006,0;0,0;0,0;16110943,0;0,0;0,0;70716479,0
50;51;9999557;0;0;8777236;3666542,0;0,0;16331021,0;1,0;0,0;16110942,0;0,0;0,0;70716479,0
51;52;0;0;0;8777236;1,0;0,0;16331020,0;0,0;8777235,0;7333707,0;0,0;0,0;70716479,0
52;53;0;0;10001846;8777236;0,0;0,0;16331020,0;0,0;7333707,0;0,0;1219452,0;0,0;79498873,0
53;54;0;10003147;0;8777236;0,0;0,0;16331020,0;0,0;0,0;10003147,0;0,0;0,0;79498873,0
54;55;0;0;0;8777236;0,0;0,0;16331020,0;0,0;0,0;10003147,0;0,0;0,0;79498873,0
55;56;0;0;0;8777236;0,0;0,0;16331020,0;0,0;0,0;10003147,0;0,0;0,0;79498873,0
56;57;0;0;0;8777236;0,0;0,0;16331020,0;0,0;0,0;10003147,0;0,0;0,0;79498873,0
57;58;0;0;0;8777236;0,0;0,0;16331020,0;0,0;0,0;10003147,0;0,0;0,0;79498873,0
58;59;0;0;0;8777236;0,0;0,0;16331020,0;0,0;0,0;10003147,0;0,0;0,0;79498873,0
59;60;0;0;0;8777236;0,0;0,0;16331020,0;0,0;0,0;10003147,0;8777236,0;0,0;70721637,0
60;61;9999570;10001438;0;8777236;0,0;0,0;26330590,0;0,0;8777236,0;11227349,0;0,0;0,0;70721637,0
61;62;0;10002524;0;8777236;0,0;8777235,0;17553355,0;0,0;0,0;21229873,0;0,0;0,0;70721637,0
62;63;0;0;0;8777236;0,0;1681220,0;15872135,0;0,0;0,0;21229873,0;7096016,0;0,0;63625621,0
63;64;0;0;9997718;8777236;0,0;1,0;15872134,0;0,0;0,0;21229873,0;0,0;0,0;73623339,0
64;65;0;0;0;8777236;0,0;0,0;15872134,0;0,0;0,0;21229873,0;8777236,0;0,0;64846103,0
65;66;9998435;0;0;8777236;0,0;0,0;25870569,0;0,0;0,0;21229873,0;0,0;0,0;64846103,0
66;67;0;0;0;8777236;0,0;0,0;25870569,0;0,0;8777236,0;12452637,0;0,0;0,0;64846103,0
67;68;0;0;0;8777236;0,0;0,0;25870569,0;0,0;0,0;12452637,0;0,0;0,0;64846103,0
68;69;0;10004755;0;8777236;5723341,0;756873,0;19390355,0;0,0;0,0;22457392,0;0,0;0,0;64846103,0
69;70;0;0;0;8777236;0,0;0,0;19390355,0;8777236,0;0,0;13680156,0;0,0;0,0;64846103,0
70;71;0;0;0;8777236;0,0;0,0;19390355,0;8569462,0;0,0;5110694,0;0,0;0,0;64846103,0
71;72;0;0;0;8777236;0,0;3666542,0;15723813,0;0,0;5110694,0;0,0;0,0;0,0;64846103,0
72;73;0;0;0;8777236;0,0;1,0;15723812,0;0,0;0,0;0,0;2665529,0;0,0;62180574,0
73;74;0;10000661;0;8777236;8777236,0;0,0;6946576,0;0,0;0,0;10000661,0;0,0;0,0;62180574,0
74;75;0;9991957;0;8777236;0,0;0,0;6946576,0;0,0;0,0;19992618,0;0,0;0,0;62180574,0
75;76;0;0;0;8777236;0,0;0,0;6946576,0;0,0;0,0;19992618,0;0,0;0,0;62180574,0
76;77;0;0;0;8777236;0,0;0,0;6946576,0;0,0;0,0;19992618,0;8777236,0;0,0;53403338,0
77;78;0;0;0;8777236;0,0;0,0;6946576,0;0,0;0,0;19992618,0;0,0;0,0;53403338,0
78;79;0;0;0;8777236;0,0;0,0;6946576,0;0,0;1,0;19992617,0;0,0;0,0;53403338,0
79;80;0;0;9995456;8777236;0,0;0,0;6946576,0;8777236,0;0,0;11215381,0;0,0;0,0;63398794,0
80;81;0;0;0;8777236;0,0;0,0;6946576,0;0,0;0,0;11215381,0;6336746,0;0,0;57062048,0
81;82;0;0;0;8777236;0,0;0,0;6946576,0;0,0;0,0;11215381,0;0,0;4172647,0;52889401,0
82;83;0;0;0;8777236;0,0;0,0;6946576,0;0,0;0,0;11215381,0;8777236,0;0,0;44112165,0
