;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;0;8666908;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;2;0;0;0;8666908;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;3;0;0;0;8666908;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;4;10001501;0;0;8666908;0,0;0,0;10001501,0;0,0;0,0;0,0;0,0;0,0;0,0
4;5;0;9996929;0;8666908;0,0;0,0;10001501,0;0,0;0,0;9996929,0;0,0;0,0;0,0
5;6;9999173;0;10000764;8666908;0,0;0,0;20000674,0;0,0;0,0;9996929,0;7500804,0;0,0;2499960,0
6;7;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;9996929,0;0,0;0,0;2499960,0
7;8;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;9996929,0;0,0;0,0;2499960,0
8;9;0;10001722;9998427;8666908;0,0;0,0;20000674,0;0,0;0,0;19998651,0;0,0;0,0;12498387,0
9;10;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;19998651,0;0,0;0,0;12498387,0
10;11;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;19998651,0;0,0;0,0;12498387,0
11;12;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;19998651,0;0,0;0,0;12498387,0
12;13;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;19998651,0;0,0;0,0;12498387,0
13;14;0;0;9999111;8666908;0,0;0,0;20000674,0;0,0;0,0;19998651,0;0,0;0,0;22497498,0
14;15;0;0;0;8666908;0,0;0,0;20000674,0;1,0;0,0;19998650,0;0,0;0,0;22497498,0
15;16;0;0;10000842;8666908;0,0;0,0;20000674,0;0,0;0,0;19998650,0;0,0;0,0;32498340,0
16;17;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;19998650,0;0,0;0,0;32498340,0
17;18;0;0;0;8666908;0,0;0,0;20000674,0;0,0;0,0;19998650,0;0,0;0,0;32498340,0
18;19;0;0;9999719;8666908;6250901,0;0,0;13749773,0;0,0;0,0;19998650,0;0,0;0,0;42498059,0
19;20;0;10002170;9998398;8666908;0,0;0,0;13749773,0;7500805,0;0,0;22500015,0;0,0;0,0;52496457,0
20;21;0;9997945;0;8666908;0,0;0,0;13749773,0;0,0;0,0;32497960,0;0,0;0,0;52496457,0
21;22;0;0;0;8666908;0,0;0,0;13749773,0;0,0;0,0;32497960,0;0,0;0,0;52496457,0
22;23;0;0;0;8666908;0,0;0,0;13749773,0;0,0;0,0;32497960,0;0,0;0,0;52496457,0
23;24;0;0;0;8666908;0,0;0,0;13749773,0;0,0;0,0;32497960,0;1,0;0,0;52496456,0
24;25;0;0;0;8666908;0,0;0,0;13749773,0;0,0;0,0;32497960,0;0,0;0,0;52496456,0
25;26;0;10001427;0;8666908;7500805,0;0,0;6248968,0;0,0;0,0;42499387,0;0,0;0,0;52496456,0
26;27;0;0;0;8666908;0,0;0,0;6248968,0;0,0;0,0;42499387,0;0,0;0,0;52496456,0
27;28;0;0;0;8666908;0,0;0,0;6248968,0;0,0;0,0;42499387,0;0,0;0,0;52496456,0
28;29;10000901;0;0;8666908;2,0;0,0;16249867,0;0,0;0,0;42499387,0;0,0;0,0;52496456,0
29;30;0;0;0;8666908;0,0;0,0;16249867,0;0,0;0,0;42499387,0;4984720,0;0,0;47511736,0
30;31;10001804;0;0;8666908;0,0;0,0;26251671,0;0,0;0,0;42499387,0;0,0;0,0;47511736,0
31;32;0;0;0;8666908;7500806,0;0,0;18750865,0;0,0;0,0;42499387,0;0,0;0,0;47511736,0
32;33;0;0;0;8666908;0,0;0,0;18750865,0;0,0;0,0;42499387,0;0,0;0,0;47511736,0
33;34;0;0;0;8666908;0,0;0,0;18750865,0;0,0;0,0;42499387,0;0,0;0,0;47511736,0
34;35;0;0;0;8666908;0,0;0,0;18750865,0;0,0;0,0;42499387,0;0,0;0,0;47511736,0
35;36;0;0;0;8666908;0,0;0,0;18750865,0;0,0;0,0;42499387,0;0,0;0,0;47511736,0
36;37;0;0;0;8666908;1,0;0,0;18750864,0;7500804,0;0,0;34998583,0;0,0;0,0;47511736,0
37;38;0;10002705;0;8666908;0,0;0,0;18750864,0;0,0;0,0;45001288,0;7500805,0;0,0;40010931,0
38;39;0;0;0;8666908;7500804,0;0,0;11250060,0;0,0;0,0;45001288,0;0,0;0,0;40010931,0
39;40;0;0;9993539;8666908;0,0;6250901,0;4999159,0;0,0;0,0;45001288,0;0,0;0,0;50004470,0
40;41;10002450;0;9997993;8666908;7500805,0;0,0;7500804,0;0,0;0,0;45001288,0;0,0;0,0;60002463,0
41;42;0;10006355;0;8666908;0,0;0,0;7500804,0;2496791,0;0,0;52510852,0;5004014,0;0,0;54998449,0
42;43;0;0;10004259;8666908;0,0;0,0;7500804,0;0,0;1,0;52510851,0;0,0;0,0;65002708,0
43;44;0;10003324;0;8666908;0,0;0,0;7500804,0;0,0;0,0;62514175,0;0,0;0,0;65002708,0
44;45;0;0;0;8666908;7500804,0;0,0;0,0;0,0;0,0;62514175,0;0,0;0,0;65002708,0
45;46;9996993;0;0;8666908;0,0;0,0;9996993,0;0,0;0,0;62514175,0;0,0;0,0;65002708,0
46;47;10000124;0;0;8666908;0,0;7500805,0;12496312,0;0,0;0,0;62514175,0;0,0;0,0;65002708,0
47;48;0;0;0;8666908;0,0;0,0;12496312,0;0,0;7500805,0;55013370,0;0,0;0,0;65002708,0
48;49;0;0;0;8666908;0,0;0,0;12496312,0;0,0;0,0;55013370,0;0,0;0,0;65002708,0
49;50;0;0;0;8666908;7500803,0;2,0;4995507,0;0,0;0,0;55013370,0;0,0;0,0;65002708,0
50;51;10003156;0;0;8666908;0,0;0,0;14998663,0;7500805,0;0,0;47512565,0;0,0;0,0;65002708,0
51;52;9997898;0;9995964;8666908;0,0;0,0;24996561,0;0,0;0,0;47512565,0;0,0;0,0;74998672,0
52;53;0;0;0;8666908;0,0;7500806,0;17495755,0;0,0;0,0;47512565,0;0,0;0,0;74998672,0
53;54;10000046;0;0;8666908;0,0;0,0;27495801,0;0,0;0,0;47512565,0;0,0;0,0;74998672,0
54;55;0;9999934;0;8666908;0,0;0,0;27495801,0;7500805,0;0,0;50011694,0;0,0;0,0;74998672,0
55;56;0;0;0;8666908;0,0;0,0;27495801,0;0,0;0,0;50011694,0;7500805,0;0,0;67497867,0
56;57;0;0;0;8666908;0,0;0,0;27495801,0;0,0;0,0;50011694,0;2491734,0;0,0;65006133,0
57;58;0;0;0;8666908;0,0;1,0;27495800,0;0,0;0,0;50011694,0;7500805,0;0,0;57505328,0
58;59;0;0;0;8666908;0,0;0,0;27495800,0;0,0;0,0;50011694,0;7500805,0;0,0;50004523,0
59;60;0;9998380;0;8666908;0,0;7500804,0;19994996,0;0,0;0,0;60010074,0;0,0;0,0;50004523,0
60;61;0;0;0;8666908;0,0;0,0;19994996,0;0,0;0,0;60010074,0;7500805,0;0,0;42503718,0
61;62;0;0;0;8666908;0,0;7500805,0;12494191,0;0,0;0,0;60010074,0;0,0;0,0;42503718,0
62;63;0;0;0;8666908;0,0;0,0;12494191,0;0,0;0,0;60010074,0;7500805,0;0,0;35002913,0
63;64;0;0;0;8666908;6247256,0;0,0;6246935,0;0,0;0,0;60010074,0;0,0;0,0;35002913,0
64;65;0;0;0;8666908;0,0;0,0;6246935,0;1,0;7500804,0;52509269,0;0,0;0,0;35002913,0
65;66;10001884;0;0;8666908;0,0;7500804,0;8748015,0;0,0;0,0;52509269,0;0,0;0,0;35002913,0
66;67;0;0;0;8666908;7500805,0;0,0;1247210,0;0,0;0,0;52509269,0;0,0;0,0;35002913,0
