;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;9997368;9000542;0,0;0,0;0,0;0,0;0,0;0,0;-0,0;0,0;9997368,0
1;2;0;0;0;9000542;0,0;0,0;0,0;0,0;0,0;0,0;-0,0;0,0;9997368,0
2;3;10002264;0;0;9000542;-0,0;0,0;10002264,0;0,0;0,0;0,0;-0,0;0,0;9997368,0
3;4;0;0;0;9000542;6250572,0;0,0;3751692,0;0,0;0,0;0,0;-0,0;0,0;9997368,0
4;5;10005466;0;0;9000542;-0,0;0,0;13757158,0;0,0;0,0;0,0;-0,0;0,0;9997368,0
5;6;10001837;0;0;9000542;-0,0;0,0;23758995,0;0,0;0,0;0,0;-0,0;0,0;9997368,0
6;7;0;0;0;9000542;-0,0;0,0;23758995,0;0,0;0,0;0,0;6250572,0;0,0;3746796,0
7;8;0;0;0;9000542;-0,0;0,0;23758995,0;0,0;0,0;0,0;3746796,0;0,0;0,0
8;9;0;0;0;9000542;-0,0;0,0;23758995,0;0,0;0,0;0,0;-0,0;0,0;-0,0
9;10;0;10004873;0;9000542;-0,0;0,0;23758995,0;-0,0;0,0;10004873,0;-0,0;0,0;0,0
10;11;0;0;0;9000542;-0,0;0,0;23758995,0;347304,0;0,0;9657569,0;-0,0;0,0;-0,0
11;12;0;0;0;9000542;-0,0;0,0;23758995,0;-0,0;0,0;9657569,0;-0,0;0,0;-0,0
12;13;0;0;9996568;9000542;-0,0;0,0;23758995,0;-0,0;0,0;9657569,0;-0,0;0,0;9996568,0
13;14;0;0;10009515;9000542;-0,0;0,0;23758995,0;-0,0;0,0;9657569,0;-0,0;0,0;20006083,0
14;15;0;0;10007203;9000542;6250572,0;0,0;17508423,0;-0,0;0,0;9657569,0;-0,0;0,0;30013286,0
15;16;0;0;9996849;9000542;-0,0;0,0;17508423,0;-0,0;0,0;9657569,0;-0,0;0,0;40010135,0
16;17;0;0;9992862;9000542;6250571,0;0,0;11257852,0;-0,0;0,0;9657569,0;-0,0;0,0;50002997,0
17;18;0;0;10002960;9000542;-0,0;0,0;11257852,0;-0,0;0,0;9657569,0;6250572,0;0,0;53755385,0
18;19;9999304;10002098;0;9000542;-0,0;0,0;21257156,0;6250572,0;0,0;13409095,0;-0,0;0,0;53755385,0
19;20;10002122;0;0;9000542;-0,0;0,0;31259278,0;907952,0;0,0;12501143,0;-0,0;0,0;53755385,0
20;21;0;0;0;9000542;-0,0;0,0;31259278,0;6250572,0;0,0;6250571,0;-0,0;0,0;53755385,0
21;22;0;0;0;9000542;-0,0;0,0;31259278,0;-0,0;0,0;6250571,0;-0,0;0,0;53755385,0
22;23;0;0;0;9000542;-0,0;0,0;31259278,0;-0,0;0,0;6250571,0;6250572,0;0,0;47504813,0
23;24;0;0;10000028;9000542;-0,0;-0,0;31259278,0;6250571,0;0,0;-0,0;-0,0;0,0;57504841,0
