instance,LP Model value,Heuristic,Avg result difference (%)
464,121.9665,127.1456,4.2463
465,91.862,93.7219,2.0247
466,103.037,105.7671,2.6496
467,100.1431,100.8566,0.7125
468,88.7938,92.5933,4.279
469,106.4544,107.8831,1.3421
470,88.0036,88.9417,1.066
471,116.9954,125.6262,7.377
472,95.0049,97.2715,2.3857
473,92.9265,106.9931,15.1374
474,116.4113,119.3746,2.5455
475,124.6039,129.2031,3.6911
476,110.3041,111.7036,1.2687
477,94.8575,95.4299,0.6034
478,116.2052,121.5851,4.6297
479,90.2617,90.9306,0.741
480,87.4188,89.5032,2.3844
481,105.9137,108.4971,2.4392
482,90.6268,91.7526,1.2422
483,105.9999,107.6672,1.5729
484,104.7054,106.47,1.6852
485,114.7301,116.9129,1.9026
486,111.8516,115.6421,3.3888
487,98.0415,101.202,3.2237
488,117.2782,119.1055,1.5581
489,113.7852,118.3566,4.0176
490,90.0628,91.705,1.8234
491,111.9706,113.2215,1.1172
492,127.5911,129.5898,1.5665
493,96.8512,97.005,0.1588
494,98.6719,100.7374,2.0934
495,86.0031,90.3022,4.9987
496,102.4214,102.5882,0.1628
497,114.8489,127.2718,10.8168
498,107.1171,108.7705,1.5435
499,102.4724,103.5911,1.0918
500,104.2073,107.7255,3.3761
501,94.406,97.4088,3.1807
502,109.5687,117.1677,6.9354
503,109.2293,109.4557,0.2072
504,102.0682,109.3486,7.1329
505,118.0772,122.2223,3.5106
506,105.2341,105.5164,0.2682
507,101.4354,103.6094,2.1433
508,112.4484,116.8929,3.9525
509,100.6984,103.6117,2.8932
510,90.3644,91.2214,0.9484
511,111.5322,114.8851,3.0061
512,109.9603,112.5662,2.3698
513,95.7352,96.6926,1.0
514,93.2674,96.2672,3.2163
515,117.304,121.031,3.1773
516,106.1079,111.808,5.372
517,107.7677,112.5334,4.4223
518,94.1209,94.3714,0.2662
519,103.6507,104.192,0.5222
520,89.9118,91.3973,1.6522
521,113.424,120.9518,6.6369
522,110.4833,113.2757,2.5275
523,86.6316,93.0627,7.4236
524,109.4648,110.7793,1.2008
525,91.4402,93.6283,2.3929
526,90.3015,97.3018,7.7521
527,101.8463,102.6885,0.827
528,102.9134,104.5492,1.5894
529,117.4141,122.2473,4.1164
530,119.2131,122.2155,2.5184
531,85.7778,91.2591,6.3901
532,107.1811,108.7261,1.4415
533,94.8572,95.5722,0.7538
534,88.5578,91.1985,2.9819
535,88.0653,88.4655,0.4544
536,109.2162,112.4374,2.9494
537,112.917,115.5265,2.311
538,101.0966,102.9439,1.8273
539,102.0726,107.4488,5.267
540,107.2374,110.9981,3.5069
541,106.4269,107.4987,1.0071
542,96.3494,97.5256,1.2208
543,104.3373,105.337,0.9581
544,98.0024,102.4421,4.5303
545,106.1133,110.9324,4.5414
546,97.9981,100.1516,2.1975
547,97.2886,99.7166,2.4957
548,96.5957,98.1953,1.656
549,130.3589,130.7247,0.2806
550,108.8603,110.9296,1.9009
551,107.5621,108.8827,1.2278
552,111.8546,111.9983,0.1284
553,101.1426,102.8321,1.6704
554,111.1598,121.5152,9.3158
555,104.0235,105.2805,1.2084
556,101.7549,103.5046,1.7195
557,107.5882,111.5554,3.6874
558,101.2277,102.4609,1.2182
559,95.2114,97.8554,2.7769
560,100.0805,102.721,2.6384
561,109.3688,111.8253,2.246
562,99.0731,101.0001,1.945
563,104.2999,105.4516,1.1043
564,103.0745,106.3592,3.1868
565,94.8129,97.8396,3.1923
566,115.0451,116.2732,1.0675
567,93.9121,94.6617,0.7982
568,108.1969,109.2973,1.017
569,100.3052,104.6133,4.2951
570,114.9243,115.4956,0.4971
571,108.9231,109.5383,0.5648
572,113.0854,124.9942,10.5309
573,95.6153,99.7704,4.3456
574,108.1925,109.6774,1.3725
575,94.5433,96.2381,1.7925
576,123.2445,125.8043,2.077
577,117.9246,125.3265,6.2767
578,113.6925,117.3054,3.1777
579,106.8762,108.1157,1.1598
580,121.0744,122.7173,1.3569
581,81.0911,84.0913,3.6998
582,105.0612,107.7075,2.5188
583,84.0554,92.1627,9.6453
584,112.9035,114.4486,1.3685
585,97.5369,97.9988,0.4735
586,99.9232,103.8055,3.8853
587,118.2037,122.0057,3.2164
588,108.8582,110.7237,1.7137
589,92.5501,94.4124,2.0122
590,102.5809,103.6858,1.077
591,110.0731,110.8149,0.6738
592,112.7983,119.2764,5.7431
593,99.6888,100.4579,0.7715
594,91.4688,94.5756,3.3966
595,113.0011,114.7507,1.5483
596,111.0385,112.3728,1.2017
597,108.5031,109.7574,1.1561
598,109.8967,111.1299,1.1222
599,108.6943,113.0845,4.039
600,109.2813,113.0404,3.4399
601,111.0811,115.081,3.6009
602,113.4461,114.4092,0.8489
603,76.8803,79.8811,3.9032
604,102.5336,103.9455,1.377
605,105.8603,111.4977,5.3253
606,118.763,129.0974,8.7017
607,93.1301,94.888,1.8876
608,100.2146,105.0646,4.8396
609,109.3016,113.8662,4.1762
610,109.6464,113.5078,3.5217
611,93.4792,94.8797,1.4982
612,110.7425,116.8421,5.5079
613,106.0004,107.0338,0.9749
614,99.8259,105.4779,5.6619
615,118.4976,121.3887,2.4398
616,103.7584,105.8498,2.0156
617,99.5,102.3636,2.878
618,104.4759,106.6615,2.0919
619,105.6153,107.7699,2.0401
620,113.9154,120.5798,5.8504
621,95.1691,98.0009,2.9755
622,106.0619,107.3766,1.2396
623,109.4799,110.8806,1.2794
624,113.4832,113.6829,0.176
625,105.9371,109.2081,3.0876
626,111.3576,112.6375,1.1494
627,122.1883,122.2841,0.0784
628,114.3697,117.9506,3.131
629,113.0453,115.5661,2.23
630,112.1768,113.3485,1.0445
631,100.9359,101.2928,0.3536
632,102.9317,104.2649,1.2953
633,115.3547,117.0985,1.5116
634,103.6669,105.7044,1.9655
635,108.279,109.5184,1.1447
636,107.738,113.1059,4.9824
637,119.2044,123.0046,3.188
638,89.9976,90.6663,0.743
639,92.1592,93.7755,1.7539
640,101.1419,111.1402,9.8854
641,100.5221,103.5739,3.0359
642,108.6896,115.6865,6.4376
643,86.3656,87.0333,0.7731
644,117.3635,120.8176,2.9431
645,113.503,115.3367,1.6155
646,97.2292,99.6125,2.4512
647,108.8483,111.3658,2.3129
648,103.3284,104.427,1.0633
649,97.4808,98.8134,1.3671
650,106.6786,108.4542,1.6644
651,88.8658,91.9102,3.4257
652,98.2823,98.9395,0.6688
