instance,LP Model value,Heuristic,Avg result difference (%)
843,87.8684,94.8025,7.8914
844,104.7703,107.548,2.6512
845,88.8188,91.6449,3.1819
846,91.1152,94.2234,3.4113
847,126.967,133.1338,4.857
848,101.7532,103.9223,2.1317
849,88.8251,96.8258,9.0072
850,107.9313,111.0046,2.8475
851,110.151,111.4466,1.1762
852,109.1914,112.9064,3.4022
853,110.8885,118.7738,7.111
854,100.7299,105.277,4.5142
855,106.4789,108.2933,1.7041
856,102.297,104.4656,2.1199
857,90.9988,91.9364,1.0303
858,86.4844,93.2664,7.8419
859,103.5471,106.1839,2.5465
860,93.1031,95.6034,2.6856
861,89.6518,92.6168,3.3073
862,100.7445,101.6704,0.9191
863,109.9189,113.4597,3.2213
864,105.8784,107.1916,1.2403
865,96.6911,98.0052,1.3591
866,103.3025,106.4326,3.03
867,114.8484,115.5454,0.6069
868,85.2125,86.4348,1.4344
869,98.6128,100.3853,1.7974
870,109.9617,114.9604,4.5458
871,100.0701,102.8656,2.7935
872,116.8695,120.2234,2.8698
873,118.6981,121.5449,2.3984
874,103.5009,113.776,9.9275
875,99.9634,102.6013,2.6388
876,106.7331,109.0793,2.1982
877,110.2055,111.2398,0.9385
878,109.2226,112.631,3.1206
879,87.1053,88.3658,1.447
880,92.5334,93.937,1.5169
881,112.9663,113.1151,0.1317
882,103.293,109.5508,6.0583
883,92.646,95.8175,3.4233
884,113.6536,117.2399,3.1555
885,96.4152,98.8323,2.507
886,102.0675,102.3784,0.3046
887,120.4165,124.0704,3.0344
888,104.5785,108.1566,3.4214
889,107.9998,110.2732,2.105
890,111.2195,114.5797,3.0212
891,98.3296,101.8528,3.583
892,91.2639,91.6711,0.4462
893,104.9325,105.3327,0.3813
894,104.3598,106.4769,2.0286
895,107.0045,108.0482,0.9754
896,103.6273,107.0727,3.3248
897,104.0487,111.3717,7.038
898,114.9525,116.387,1.2479
899,105.7012,106.552,0.8049
900,103.6172,110.4637,6.6075
901,114.6924,118.7942,3.5764
902,94.3145,95.9218,1.7042
903,105.7074,108.8191,2.9436
904,102.1221,105.083,2.8993
905,97.9952,104.8491,6.9941
906,108.7618,110.6921,1.7748
907,101.5371,107.208,5.585
908,101.3118,101.9989,0.6782
909,89.9007,94.7006,5.3391
910,93.7824,95.1604,1.4693
911,104.9094,105.6495,0.7054
912,91.5229,92.6341,1.214
913,113.3099,117.5163,3.7123
914,106.8823,111.8806,4.6764
915,99.1126,99.9275,0.8223
916,94.278,104.3951,10.7311
917,111.4199,115.8707,3.9946
918,108.6894,110.2303,1.4177
919,97.3697,99.5586,2.2481
920,89.6052,90.5615,1.0673
921,107.0032,110.0528,2.85
922,103.7341,103.9349,0.1935
923,115.1661,116.1679,0.8698
924,120.6654,120.999,0.2765
925,100.6806,104.9083,4.1991
926,96.6631,97.1817,0.5365
927,108.781,108.9667,0.1707
928,98.6259,99.5053,0.8917
929,98.1425,98.9995,0.8732
930,93.2474,95.5806,2.5022
931,106.1245,107.1242,0.9421
932,86.2324,88.423,2.5403
933,104.1091,105.4982,1.3342
934,98.7138,101.0,2.316
935,95.3803,96.0359,0.6874
936,95.0519,97.841,2.9343
937,107.862,111.663,3.524
938,99.2695,102.5452,3.2998
939,111.4982,122.8925,10.2193
940,114.1957,116.4545,1.978
941,118.5133,121.8471,2.813
942,100.2036,101.8803,1.6733
943,111.2912,111.7036,0.3706
944,106.8097,107.9939,1.1087
945,122.2543,127.8393,4.5683
946,91.6961,95.7016,4.3683
947,117.199,122.998,4.948
948,103.935,107.2886,3.2267
949,92.7652,95.3816,2.8205
950,101.645,105.0745,3.374
951,104.4111,107.1838,2.6555
952,109.9271,111.4259,1.3635
953,92.5685,95.4258,3.0867
954,109.4045,110.4443,0.9504
955,104.7864,106.2864,1.4315
956,109.253,109.942,0.6307
957,101.3882,102.6976,1.2915
958,81.102,81.102,-0.0
959,116.0544,118.1114,1.7725
960,87.3072,87.8466,0.6179
961,105.8143,110.6262,4.5475
962,109.561,111.8118,2.0544
963,98.899,99.9992,1.1125
964,108.6981,109.3524,0.6019
965,104.2584,105.258,0.9588
966,109.5616,113.1686,3.2922
